#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 4.2718 3.5589 4.0000 0.8619 0.337
  2 5.588840e+03 4.2859 3.5575 3.9999 0.8629 0.345
  3 1.214150e+04 4.2996 3.5560 3.9997 0.8636 0.359
  4 1.962100e+04 4.3133 3.5545 3.9994 0.8641 0.381
  5 2.796000e+04 4.3264 3.5529 3.9989 0.8646 0.411
  6 3.700450e+04 4.3385 3.5513 3.9982 0.8650 0.448
  7 4.658300e+04 4.3493 3.5497 3.9971 0.8653 0.492
  8 5.654530e+04 4.3588 3.5483 3.9958 0.8655 0.541
  9 6.677550e+04 4.3670 3.5468 3.9939 0.8657 0.594
 10 7.719000e+04 4.3742 3.5454 3.9916 0.8658 0.650
 11 8.773100e+04 4.3806 3.5440 3.9887 0.8659 0.708
 12 9.835940e+04 4.3862 3.5428 3.9852 0.8660 0.767
 13 1.090500e+05 4.3912 3.5416 3.9810 0.8660 0.828
 14 1.197840e+05 4.3958 3.5402 3.9758 0.8661 0.889
 15 1.305530e+05 4.4001 3.5385 3.9696 0.8661 0.950
 16 1.413500e+05 4.4043 3.5363 3.9667 0.8661 1.012
 17 1.521650e+05 4.4085 3.5250 3.9667 0.8661 1.071
 18 1.629950e+05 4.4126 3.5098 3.9666 0.8662 1.128
 19 1.738350e+05 4.4166 3.5028 3.9664 0.8662 1.178
 20 1.846850e+05 4.4206 3.4981 3.9663 0.8662 1.220
 21 1.955430e+05 4.4246 3.4945 3.9661 0.8662 1.251
 22 2.064080e+05 4.4285 3.4917 3.9659 0.8662 1.267
 23 2.172810e+05 4.4325 3.4890 3.9658 0.8663 1.268
 24 2.281600e+05 4.4364 3.4870 3.9654 0.8663 1.251
 25 2.390460e+05 4.4404 3.4856 3.9646 0.8663 1.217
 26 2.499390e+05 4.4442 3.4843 3.9624 0.8663 1.167
 27 2.608400e+05 4.4481 3.4845 3.9597 0.8663 1.102
 28 2.717500e+05 4.4521 3.4864 3.9591 0.8663 1.022
 29 2.826670e+05 4.4562 3.4960 3.9589 0.8663 0.929
 30 2.935900e+05 4.4592 3.5212 3.9463 0.8664 0.836
 31 3.045280e+05 4.4587 3.5217 3.8932 0.8664 0.760
 32 3.155150e+05 4.4560 3.5207 3.8169 0.8664 0.709
 33 3.265720e+05 4.4515 3.5195 3.7218 0.8664 0.691
 34 3.377140e+05 4.4439 3.5176 3.5952 0.8665 0.718
 35 3.489560e+05 4.4307 3.5147 3.4084 0.8665 0.795
 36 3.603280e+05 4.4024 3.5095 3.0408 0.8666 0.893
 37 3.719030e+05 4.3166 3.4866 1.6265 0.8667 1.038
 38 3.839230e+05 4.3195 3.4380 1.6261 0.8684 1.222
 39 3.937080e+05 4.3094 3.4294 1.1869 0.8695 1.352
