#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.4513 3.5656 1.3000 0.5554 0.338
  2 1.249830e+05 3.4977 3.5611 1.3000 0.5581 0.365
  3 2.790570e+05 3.5539 3.5552 1.3000 0.5619 0.453
  4 4.551210e+05 3.6151 3.5480 1.2999 0.5669 0.651
  5 6.397790e+05 3.6736 3.5399 1.2996 0.5731 0.978
  6 8.208240e+05 3.7247 3.5295 1.2977 0.5799 1.390
  7 9.924310e+05 3.7675 3.4733 1.2951 0.5872 1.824
  8 1.152890e+06 3.8031 3.4546 1.2910 0.5948 2.256
  9 1.302180e+06 3.8328 3.4410 1.2853 0.6024 2.670
 10 1.440800e+06 3.8581 3.4302 1.2768 0.6101 3.057
 11 1.567060e+06 3.8790 3.4102 0.6174 0.6174 3.057
