#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.9079 3.5604 2.5000 0.6655 0.326
  2 4.107310e+04 3.9251 3.5587 2.5000 0.6681 0.383
  3 9.641870e+04 3.9437 3.5563 2.5000 0.6702 0.522
  4 1.628880e+05 3.9619 3.5530 2.5000 0.6723 0.766
  5 2.364400e+05 3.9775 3.5485 2.4999 0.6743 1.115
  6 3.135470e+05 3.9894 3.5178 2.4996 0.6761 1.543
  7 3.921050e+05 3.9981 3.4978 2.4988 0.6776 2.020
  8 4.710590e+05 4.0043 3.4886 2.4977 0.6790 2.521
  9 5.498990e+05 4.0089 3.4818 2.4962 0.6802 3.026
 10 6.283720e+05 4.0124 3.4767 2.4942 0.6814 3.525
 11 7.063430e+05 4.0153 3.4720 2.4919 0.6825 4.009
 12 7.837250e+05 4.0178 3.4687 2.4890 0.6837 4.474
 13 8.604620e+05 4.0200 3.4654 2.4857 0.6848 4.918
 14 9.365130e+05 4.0221 3.4626 2.4819 0.6859 5.340
 15 1.011840e+06 4.0241 3.4602 2.4776 0.6870 5.740
 16 1.086420e+06 4.0261 3.4578 2.4728 0.6881 6.116
 17 1.160230e+06 4.0281 3.4553 2.4675 0.6893 6.472
 18 1.233250e+06 4.0300 3.4534 2.4617 0.6904 6.806
 19 1.305460e+06 4.0320 3.4519 2.4554 0.6915 7.120
 20 1.376850e+06 4.0339 3.4500 2.4487 0.6927 7.414
 21 1.447420e+06 4.0358 3.4484 2.4415 0.6938 7.689
 22 1.517190e+06 4.0378 3.4469 2.4340 0.6950 7.949
 23 1.586110e+06 4.0398 3.4453 2.4260 0.6962 8.194
 24 1.654180e+06 4.0419 3.4438 2.4176 0.6974 8.426
 25 1.721390e+06 4.0439 3.4423 2.4088 0.6986 8.647
 26 1.787740e+06 4.0460 3.4410 2.3996 0.6999 8.855
 27 1.853220e+06 4.0481 3.4395 2.3901 0.7011 9.054
 28 1.917820e+06 4.0502 3.4383 2.3802 0.7024 9.243
 29 1.981540e+06 4.0524 3.4366 2.3701 0.7037 9.422
 30 2.044370e+06 4.0546 3.4354 2.3596 0.7050 9.594
 31 2.106310e+06 4.0568 3.4342 2.3488 0.7064 9.758
 32 2.167350e+06 4.0591 3.4329 2.3377 0.7077 9.915
 33 2.227490e+06 4.0614 3.4316 2.3263 0.7091 10.064
 34 2.286720e+06 4.0637 3.4302 2.3147 0.7105 10.208
 35 2.345040e+06 4.0661 3.4293 2.3029 0.7120 10.345
 36 2.402440e+06 4.0685 3.4280 2.2908 0.7134 10.477
 37 2.458920e+06 4.0710 3.4265 2.2785 0.7149 10.603
 38 2.514490e+06 4.0735 3.4255 2.2660 0.7164 10.725
 39 2.569130e+06 4.0760 3.4241 2.2534 0.7180 10.842
 40 2.622840e+06 4.0785 3.4230 2.2405 0.7196 10.954
 41 2.675620e+06 4.0811 3.4216 2.2275 0.7212 11.062
 42 2.727480e+06 4.0838 3.4204 2.2144 0.7228 11.166
 43 2.778400e+06 4.0865 3.4193 2.2011 0.7244 11.267
 44 2.828400e+06 4.0892 3.4180 2.1877 0.7261 11.364
 45 2.877460e+06 4.0920 3.4167 2.1722 0.7278 11.457
 46 2.925600e+06 4.0948 3.4145 2.1423 0.7296 11.548
 47 2.972820e+06 4.0977 3.4000 1.9161 0.7314 11.637
 48 3.004520e+06 4.0941 3.3685 0.7308 0.7308 11.637
