#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.5803 3.5771 2.0000 0.5558 0.325
  2 1.220400e+05 3.6072 3.5746 2.0000 0.5585 0.367
  3 2.749510e+05 3.6389 3.5712 2.0000 0.5615 0.490
  4 4.520270e+05 3.6745 3.5665 2.0000 0.5652 0.754
  5 6.447960e+05 3.7104 3.5600 2.0000 0.5693 1.194
  6 8.435870e+05 3.7431 3.5251 1.9993 0.5737 1.791
  7 1.041670e+06 3.7710 3.5041 1.9978 0.5781 2.478
  8 1.235560e+06 3.7941 3.4912 1.9953 0.5824 3.179
  9 1.423710e+06 3.8131 3.4817 1.9915 0.5866 3.855
 10 1.605510e+06 3.8287 3.4741 1.9864 0.5907 4.488
 11 1.780890e+06 3.8418 3.4678 1.9799 0.5947 5.071
 12 1.949890e+06 3.8532 3.4625 1.9720 0.5986 5.605
 13 2.112660e+06 3.8633 3.4577 1.9627 0.6025 6.092
 14 2.269320e+06 3.8727 3.4534 1.9521 0.6064 6.536
 15 2.420000e+06 3.8815 3.4495 1.9402 0.6103 6.942
 16 2.564850e+06 3.8899 3.4457 1.9272 0.6142 7.315
 17 2.704000e+06 3.8979 3.4422 1.9131 0.6180 7.654
 18 2.837710e+06 3.9059 3.4387 1.8981 0.6219 7.967
 19 2.966020e+06 3.9137 3.4350 1.8821 0.6259 8.256
 20 3.089100e+06 3.9215 3.4318 1.8653 0.6299 8.523
 21 3.207070e+06 3.9292 3.4289 1.8476 0.6339 8.772
 22 3.320070e+06 3.9370 3.4254 1.8293 0.6380 9.002
 23 3.428260e+06 3.9447 3.4223 1.8103 0.6421 9.217
 24 3.531770e+06 3.9524 3.4189 1.7908 0.6463 9.417
 25 3.630740e+06 3.9601 3.4162 1.7708 0.6506 9.604
 26 3.725330e+06 3.9679 3.4131 1.7504 0.6548 9.779
 27 3.815670e+06 3.9756 3.4096 1.7245 0.6591 9.943
 28 3.901920e+06 3.9835 3.3755 1.2710 0.6635 10.053
