 age/yr       logL   logTef grav   logTc  logrho Xc,Yc Xc_C    Xc_O    Q_conv Q_disc  logL_H Q1_H  Q2_H    logL_He Q1_He Q2_He  logL_C logL_nu Q_Tmax stage
 0.00000E+00 -1.987  3.573  5.062  6.860  2.145  0.742 1.37E-3 3.85E-3 0.0000 0.0000 -1.987 0.0000 0.0000  0.000 0.0000 0.0000  0.000  0.000  0.0000  ZAMS                
 2.53203E+10 -1.922  3.576  5.007  6.841  2.064  0.724 1.37E-3 3.85E-3 0.0000 0.0000 -1.922 0.0000 0.0263  0.000 0.0000 0.0000  0.000  0.000  0.0000  F    
