 age/yr       logL   logTef grav   logTc  logrho Xc,Yc Xc_C    Xc_O    Q_conv Q_disc  logL_H Q1_H  Q2_H    logL_He Q1_He Q2_He  logL_C logL_nu Q_Tmax stage
 0.00000E+00 -1.445  3.606  4.907  6.933  1.884  0.736 1.37E-3 3.85E-3 0.0734 0.3051 -1.443 0.0000 0.0407  0.000 0.0000 0.0000  0.000  0.000  0.0000  ZAMS                
 4.04574E+09 -1.426  3.607  4.891  6.928  1.895  0.700 1.34E-3 3.85E-3 0.0000 0.5148 -1.426 0.0000 0.0407  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 1.60830E+10 -1.401  3.609  4.873  6.936  1.957  0.598 1.18E-3 3.85E-3 0.0000 0.5858 -1.400 0.0000 0.0407  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 2.34351E+10 -1.386  3.610  4.864  6.943  1.996  0.542 1.06E-3 3.85E-3 0.0000 0.5965 -1.386 0.0000 0.0438  0.000 0.0000 0.0000  0.000  0.000  0.0000  F    
