 age/yr       logL   logTef grav   logTc  logrho Xc,Yc Xc_C    Xc_O    Q_conv Q_disc  logL_H Q1_H  Q2_H    logL_He Q1_He Q2_He  logL_C logL_nu Q_Tmax stage
 0.00000E+00 -1.837  3.582  5.028  6.890  2.060  0.741 1.37E-3 3.85E-3 0.0000 0.0000 -1.836 0.0000 0.0000  0.000 0.0000 0.0000  0.000  0.000  0.0000  ZAMS                
 2.48810E+10 -1.768  3.585  4.969  6.869  1.973  0.724 1.37E-3 3.85E-3 0.0000 0.0000 -1.768 0.0000 0.0319  0.000 0.0000 0.0000  0.000  0.000  0.0000  F    
