#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.3190 3.5235 1.3000 0.5260 0.372
  2 1.023150e+05 3.3460 3.5202 1.3000 0.5274 0.372
  3 2.105370e+05 3.3759 3.5169 1.3000 0.5290 0.372
  4 3.249800e+05 3.4082 3.5130 1.2999 0.5310 0.372
  5 4.456630e+05 3.4428 3.5088 1.2998 0.5334 0.372
  6 5.721740e+05 3.4791 3.5043 1.2996 0.5362 0.372
  7 7.035780e+05 3.5165 3.4997 1.2988 0.5394 0.372
  8 8.384110e+05 3.5543 3.4948 1.2969 0.5431 0.372
  9 9.748260e+05 3.5916 3.4898 1.2916 0.5474 0.372
 10 1.110840e+06 3.6279 3.4840 1.2765 0.5521 0.372
 11 1.244620e+06 3.6625 3.4765 1.2264 0.5572 0.372
