#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.3330 3.5306 1.5000 0.5262 0.346
  2 1.017860e+05 3.3588 3.5278 1.5000 0.5276 0.346
  3 2.094390e+05 3.3874 3.5247 1.5000 0.5292 0.346
  4 3.232670e+05 3.4185 3.5211 1.5000 0.5312 0.346
  5 4.432890e+05 3.4518 3.5172 1.5000 0.5336 0.346
  6 5.691020e+05 3.4869 3.5133 1.4999 0.5364 0.346
  7 6.997820e+05 3.5231 3.5089 1.4998 0.5396 0.346
  8 8.338880e+05 3.5598 3.5044 1.4995 0.5433 0.346
  9 9.695940e+05 3.5961 3.4999 1.4987 0.5475 0.346
 10 1.104930e+06 3.6315 3.4954 1.4968 0.5522 0.346
 11 1.238080e+06 3.6653 3.4909 1.4920 0.5572 0.346
 12 1.367550e+06 3.6973 3.4863 1.4806 0.5627 0.346
 13 1.492290e+06 3.7271 3.4807 1.4516 0.5684 0.346
 14 1.611670e+06 3.7543 3.4715 1.3519 0.5743 0.346
 15 1.701800e+06 3.7687 3.4592 0.5785 0.5785 0.346
