#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.2821 3.5980 1.8000 0.5238 0.324
  2 1.678820e+05 3.3217 3.5945 1.8000 0.5258 0.324
  3 3.649720e+05 3.3710 3.5901 1.8000 0.5287 0.324
  4 5.895280e+05 3.4291 3.5848 1.8000 0.5327 0.389
  5 8.312750e+05 3.4885 3.5786 1.8000 0.5373 0.570
  6 1.078210e+06 3.5449 3.5714 1.8000 0.5422 0.894
  7 1.324080e+06 3.5961 3.5622 1.8000 0.5473 1.343
  8 1.564970e+06 3.6414 3.5236 1.7992 0.5526 1.870
  9 1.798600e+06 3.6808 3.5059 1.7975 0.5580 2.440
 10 2.023660e+06 3.7146 3.4928 1.7948 0.5634 3.028
 11 2.239460e+06 3.7435 3.4825 1.7908 0.5688 3.612
 12 2.445670e+06 3.7682 3.4737 1.7855 0.5741 4.173
 13 2.642370e+06 3.7895 3.4660 1.7786 0.5794 4.704
 14 2.829730e+06 3.8082 3.4591 1.7702 0.5847 5.199
 15 3.008000e+06 3.8248 3.4531 1.7603 0.5899 5.658
 16 3.177470e+06 3.8398 3.4476 1.7489 0.5951 6.080
 17 3.338460e+06 3.8536 3.4423 1.7361 0.6003 6.470
 18 3.491270e+06 3.8665 3.4374 1.7219 0.6055 6.828
 19 3.636240e+06 3.8787 3.4328 1.7066 0.6107 7.158
 20 3.773690e+06 3.8902 3.4281 1.6904 0.6158 7.460
 21 3.904030e+06 3.9013 3.4238 1.6731 0.6211 7.738
 22 4.027530e+06 3.9122 3.4200 1.6549 0.6263 7.995
 23 4.144480e+06 3.9228 3.4159 1.6360 0.6315 8.232
 24 4.255190e+06 3.9332 3.4121 1.6164 0.6368 8.452
 25 4.359940e+06 3.9434 3.3974 1.4602 0.6421 8.641
 26 4.425300e+06 3.9388 3.3865 0.6436 0.6436 8.641
