#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.3837 3.5791 1.5000 0.5394 0.321
  2 1.453230e+05 3.4260 3.5751 1.5000 0.5419 0.345
  3 3.213640e+05 3.4769 3.5700 1.5000 0.5450 0.420
  4 5.223530e+05 3.5339 3.5637 1.5000 0.5491 0.592
  5 7.376110e+05 3.5916 3.5562 1.5000 0.5541 0.898
  6 9.547210e+05 3.6451 3.5470 1.5000 0.5598 1.331
  7 1.165430e+06 3.6920 3.5005 1.4985 0.5660 1.831
  8 1.366080e+06 3.7320 3.4806 1.4957 0.5725 2.352
  9 1.555430e+06 3.7659 3.4665 1.4915 0.5792 2.870
 10 1.733310e+06 3.7946 3.4550 1.4857 0.5859 3.370
 11 1.900090e+06 3.8192 3.4454 1.4784 0.5927 3.842
 12 2.056280e+06 3.8408 3.4370 1.4696 0.5995 4.281
 13 2.202460e+06 3.8599 3.4296 1.4593 0.6062 4.685
 14 2.339270e+06 3.8772 3.4228 1.4477 0.6129 5.056
 15 2.467300e+06 3.8931 3.4162 1.4275 0.6195 5.394
 16 2.582540e+06 3.9065 3.3967 0.6256 0.6256 5.394
