 age/yr       logL   logTef grav   logTc  logrho Xc,Yc Xc_C    Xc_O    Q_conv Q_disc  logL_H Q1_H  Q2_H    logL_He Q1_He Q2_He  logL_C logL_nu Q_Tmax stage
 0.00000E+00 -1.419  3.651  5.011  6.940  1.982  0.768 6.85E-5 1.92E-4 0.1336 0.1194 -1.405 0.0000 0.0553  0.000 0.0000 0.0000  0.000  0.000  0.0000  ZAMS                
 2.48112E+10 -1.370  3.655  4.976  6.935  1.936  0.735 6.81E-5 1.92E-4 0.1477 0.3033 -1.371 0.0000 0.0698  0.000 0.0000 0.0000  0.000  0.000  0.0000  F    
