#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.3544 3.6013 1.6000 0.5310 0.314
  2 1.696120e+05 3.3883 3.5980 1.6000 0.5330 0.393
  3 3.816520e+05 3.4281 3.5938 1.6000 0.5351 0.606
  4 6.293660e+05 3.4738 3.5874 1.6000 0.5376 1.052
  5 9.046940e+05 3.5226 3.5733 1.5998 0.5406 1.814
  6 1.195870e+06 3.5708 3.5430 1.5986 0.5439 2.890
  7 1.492210e+06 3.6151 3.5212 1.5944 0.5474 4.171
  8 1.786570e+06 3.6537 3.5022 1.5831 0.5511 5.498
  9 2.074960e+06 3.6863 3.4857 1.5589 0.5548 6.742
 10 2.355010e+06 3.7134 3.4701 1.5161 0.5585 7.832
 11 2.624980e+06 3.7358 3.4547 1.4506 0.5624 8.759
 12 2.883410e+06 3.7552 3.4381 1.3598 0.5665 9.551
 13 3.128130e+06 3.7730 3.4201 1.2418 0.5713 10.225
 14 3.356770e+06 3.7905 3.3990 1.0803 0.5769 10.802
 15 3.491190e+06 3.7807 3.3902 0.5770 0.5770 10.802
