#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.4226 3.5726 2.2000 0.5221 0.335
  2 1.471990e+05 3.4436 3.5707 2.2000 0.5238 0.335
  3 3.110670e+05 3.4693 3.5683 2.2000 0.5261 0.335
  4 4.919480e+05 3.4997 3.5654 2.2000 0.5290 0.335
  5 6.875870e+05 3.5345 3.5619 2.2000 0.5328 0.335
  6 8.926130e+05 3.5724 3.5581 2.2000 0.5375 0.335
  7 1.099770e+06 3.6115 3.5544 2.2000 0.5430 0.335
  8 1.302350e+06 3.6500 3.5507 2.2000 0.5493 0.335
  9 1.495820e+06 3.6869 3.5471 2.2000 0.5563 0.335
 10 1.677890e+06 3.7213 3.5437 2.1999 0.5637 0.335
 11 1.847760e+06 3.7532 3.5405 2.1999 0.5715 0.335
 12 2.005500e+06 3.7825 3.5372 2.1997 0.5795 0.335
 13 2.151550e+06 3.8093 3.5346 2.1994 0.5877 0.335
 14 2.286590e+06 3.8339 3.5321 2.1990 0.5959 0.400
 15 2.411420e+06 3.8537 3.5293 2.1982 0.6027 0.512
 16 2.529280e+06 3.8702 3.5264 2.1970 0.6086 0.657
 17 2.642710e+06 3.8842 3.5233 2.1952 0.6138 0.827
 18 2.752920e+06 3.8964 3.5202 2.1924 0.6184 1.015
 19 2.860470e+06 3.9072 3.4978 2.1916 0.6227 1.216
 20 2.965600e+06 3.9169 3.4644 2.1889 0.6266 1.425
 21 3.068450e+06 3.9256 3.4549 2.1853 0.6303 1.639
 22 3.169020e+06 3.9336 3.4488 2.1810 0.6337 1.854
 23 3.267320e+06 3.9410 3.4437 2.1759 0.6370 2.069
 24 3.363350e+06 3.9478 3.4393 2.1701 0.6402 2.280
 25 3.457080e+06 3.9543 3.4356 2.1635 0.6433 2.489
 26 3.548520e+06 3.9605 3.4322 2.1562 0.6462 2.692
 27 3.637680e+06 3.9664 3.4289 2.1482 0.6492 2.890
 28 3.724560e+06 3.9721 3.4259 2.1394 0.6520 3.083
 29 3.809190e+06 3.9776 3.4232 2.1299 0.6549 3.270
 30 3.891580e+06 3.9831 3.4205 2.1197 0.6577 3.451
 31 3.971780e+06 3.9884 3.4177 2.1071 0.6605 3.627
 32 4.049810e+06 3.9936 3.4136 2.0708 0.6633 3.797
 33 4.125710e+06 3.9989 3.3977 1.8539 0.6662 3.959
 34 4.186680e+06 4.0009 3.3535 0.6679 0.6679 3.959
