#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.8654 3.5640 1.4000 0.6340 0.306
  2 6.176810e+04 3.8814 3.5612 1.3706 0.6375 0.508
  3 1.461910e+05 3.9007 3.5515 1.2313 0.6420 1.225
  4 2.427310e+05 3.9223 3.5141 1.2306 0.6477 2.599
  5 3.394400e+05 3.9408 3.4780 1.2271 0.6535 4.259
  6 4.332810e+05 3.9561 3.4573 1.2180 0.6591 5.816
  7 5.232790e+05 3.9688 3.4422 1.2008 0.6645 7.108
  8 6.092950e+05 3.9797 3.4310 1.1750 0.6696 8.163
  9 6.912780e+05 3.9897 3.4204 1.1116 0.6748 9.050
 10 7.455340e+05 3.9885 3.4162 0.6761 0.6761 9.050
