#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.9117 3.4728 2.5000 0.6350 0.350
  2 2.511930e+04 3.9205 3.4713 2.4989 0.6368 0.351
  3 5.125930e+04 3.9292 3.4702 2.4975 0.6385 0.352
  4 7.843380e+04 3.9380 3.4687 2.4957 0.6402 0.355
  5 1.066610e+05 3.9467 3.4675 2.4932 0.6421 0.360
  6 1.359020e+05 3.9552 3.4660 2.4899 0.6439 0.367
  7 1.660810e+05 3.9634 3.4648 2.4856 0.6459 0.376
  8 1.970950e+05 3.9713 3.4631 2.4799 0.6479 0.387
  9 2.288240e+05 3.9787 3.4619 2.4723 0.6500 0.401
 10 2.611410e+05 3.9857 3.4605 2.4626 0.6521 0.416
 11 2.939120e+05 3.9924 3.4587 2.4497 0.6542 0.433
 12 3.270050e+05 3.9987 3.4572 2.4325 0.6565 0.452
 13 3.602860e+05 4.0047 3.4554 2.4095 0.6587 0.472
 14 3.936200e+05 4.0104 3.4531 2.3772 0.6611 0.492
 15 4.268710e+05 4.0161 3.4504 2.3281 0.6635 0.512
 16 4.598890e+05 4.0217 3.4458 2.2411 0.6661 0.530
 17 4.924970e+05 4.0274 3.4226 1.7747 0.6690 0.533
