#n   age/yr      logL   logTef grav    logTc  logrho Xc     Yc     Xc_C   Xc_O   Q_conv Q_disc L_H/L Q1_H Q2_H L_He/L Q1_He Q2_He L_C/L L_nu/L Q_Tmax phase
#(1) (2)         (3)    (4)    (5)     (6)    (7)    (8)    (9)    (10)   (11)   (12)   (13)   (14) (15)  (16) (17)   (18)  (19)  (20)  (21)   (22)   (23) 
  1 0.000000e+00 1.7479 3.6560 2.4905  8.0409 4.5672 0.0000 0.9403 0.0205 0.0044 0.000 0.222  0.924 0.215 0.225 0.071 0.000 0.021 0.000 0.000 0.000 bcheb
  2 1.000000e+07 1.7490 3.6565 2.4914  8.0449 4.5359 0.0000 0.9053 0.0537 0.0058 0.060 0.227  0.916 0.228 0.230 0.082 0.000 0.023 0.000 0.000 0.000 
  3 3.651320e+07 1.7769 3.6560 2.4615  8.0588 4.4507 0.0000 0.7782 0.1644 0.0198 0.074 0.246  0.874 0.246 0.248 0.124 0.000 0.029 0.000 0.000 0.000 
  4 5.499930e+07 1.7960 3.6553 2.4396  8.0690 4.3989 0.0000 0.6846 0.2372 0.0384 0.086 0.257  0.840 0.257 0.260 0.160 0.000 0.033 0.000 0.000 0.000 tmaxcheb
  5 6.873882e+07 1.8117 3.6555 2.4247  8.0773 4.3621 0.0000 0.6093 0.2906 0.0585 0.095 0.266  0.809 0.266 0.269 0.190 0.000 0.035 0.000 0.000 0.000 
  6 9.781093e+07 1.8514 3.6543 2.3802  8.0972 4.2976 0.0000 0.4408 0.3909 0.1242 0.104 0.285  0.733 0.285 0.288 0.266 0.000 0.041 0.000 0.000 0.000 
  7 1.215136e+08 1.8898 3.6523 2.3338  8.1194 4.2640 0.0000 0.2827 0.4520 0.2200 0.109 0.300  0.656 0.300 0.303 0.344 0.000 0.047 0.000 0.001 0.000 
  8 1.380142e+08 1.9293 3.6504 2.2867  8.1426 4.2654 0.0000 0.1636 0.4554 0.3352 0.112 0.310  0.597 0.310 0.313 0.402 0.000 0.053 0.000 0.001 0.000 
  9 1.481403e+08 1.9664 3.6477 2.2388  8.1623 4.2887 0.0000 0.0975 0.4206 0.4356 0.111 0.315  0.574 0.316 0.319 0.423 0.000 0.057 0.000 0.001 0.000 
 10 1.545497e+08 2.0050 3.6443 2.1866  8.1809 4.3228 0.0000 0.0571 0.3720 0.5243 0.114 0.319  0.572 0.319 0.322 0.432 0.000 0.060 0.000 0.002 0.000 
 11 1.573370e+08 2.0438 3.6410 2.1346  8.1992 4.3734 0.0000 0.0296 0.3371 0.5864 0.111 0.320  0.591 0.305 0.319 0.403 0.000 0.064 0.000 0.002 0.000 
 12 1.586655e+08 2.0815 3.6377 2.0837  8.2144 4.4212 0.0000 0.0161 0.3131 0.6235 0.111 0.321  0.618 0.306 0.319 0.372 0.000 0.066 0.000 0.003 0.000 
