#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 4.1464 3.4742 3.5000 0.7709 0.358
  2 8.134750e+03 4.1548 3.4731 3.4990 0.7722 0.358
  3 1.679240e+04 4.1624 3.4721 3.4977 0.7731 0.360
  4 2.606000e+04 4.1697 3.4708 3.4961 0.7740 0.362
  5 3.597100e+04 4.1766 3.4699 3.4939 0.7747 0.365
  6 4.649000e+04 4.1830 3.4686 3.4912 0.7754 0.370
  7 5.754770e+04 4.1889 3.4677 3.4878 0.7760 0.375
  8 6.906280e+04 4.1941 3.4670 3.4836 0.7766 0.381
  9 8.095570e+04 4.1988 3.4663 3.4786 0.7770 0.388
 10 9.315480e+04 4.2029 3.4655 3.4728 0.7775 0.396
 11 1.055990e+05 4.2066 3.4643 3.4660 0.7778 0.405
 12 1.182390e+05 4.2099 3.4637 3.4581 0.7782 0.414
 13 1.310360e+05 4.2128 3.4631 3.4491 0.7785 0.424
 14 1.439570e+05 4.2155 3.4624 3.4389 0.7788 0.434
 15 1.569780e+05 4.2179 3.4617 3.4273 0.7791 0.445
 16 1.700800e+05 4.2203 3.4610 3.4142 0.7794 0.457
 17 1.832490e+05 4.2224 3.4603 3.3992 0.7797 0.468
 18 1.964720e+05 4.2245 3.4595 3.3821 0.7800 0.480
 19 2.097400e+05 4.2266 3.4586 3.3624 0.7803 0.493
 20 2.230430e+05 4.2285 3.4576 3.3394 0.7806 0.506
 21 2.363740e+05 4.2304 3.4563 3.3122 0.7810 0.519
 22 2.497250e+05 4.2322 3.4550 3.2790 0.7813 0.533
 23 2.630860e+05 4.2338 3.4537 3.2375 0.7817 0.547
 24 2.764450e+05 4.2352 3.4520 3.1833 0.7821 0.562
 25 2.897850e+05 4.2362 3.4494 3.1067 0.7825 0.577
 26 3.030810e+05 4.2362 3.4456 2.9789 0.7831 0.593
 27 3.162880e+05 4.2300 3.4302 2.4951 0.7837 0.607
