#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.9854 3.6092 2.2000 0.7303 0.270
  2 2.533180e+04 3.9995 3.6080 2.2000 0.7323 0.896
  3 7.264460e+04 4.0193 3.6000 2.2000 0.7344 2.570
  4 1.257270e+05 4.0349 3.5769 2.1998 0.7354 4.542
  5 1.802240e+05 4.0460 3.5572 2.1989 0.7360 6.385
  6 2.352360e+05 4.0534 3.5422 2.1958 0.7365 7.972
  7 2.904980e+05 4.0582 3.5305 2.1894 0.7368 9.301
  8 3.459200e+05 4.0613 3.5212 2.1786 0.7370 10.401
  9 4.014590e+05 4.0631 3.5134 2.1630 0.7371 11.307
 10 4.570940e+05 4.0643 3.5064 2.1425 0.7372 12.060
 11 5.128310e+05 4.0650 3.5001 2.1170 0.7372 12.697
 12 5.686860e+05 4.0655 3.4943 2.0868 0.7373 13.243
 13 6.246760e+05 4.0658 3.4889 2.0518 0.7374 13.716
 14 6.808160e+05 4.0660 3.4835 2.0121 0.7374 14.132
 15 7.371220e+05 4.0662 3.4778 1.9679 0.7375 14.501
 16 7.936080e+05 4.0664 3.4725 1.9191 0.7376 14.831
 17 8.502870e+05 4.0665 3.4668 1.8658 0.7376 15.130
 18 9.071710e+05 4.0666 3.4612 1.8078 0.7377 15.402
 19 9.642720e+05 4.0668 3.4554 1.7451 0.7378 15.650
 20 1.021600e+06 4.0669 3.4495 1.6776 0.7379 15.879
 21 1.079160e+06 4.0671 3.4433 1.6052 0.7380 16.092
 22 1.136970e+06 4.0673 3.4371 1.5276 0.7381 16.292
 23 1.195040e+06 4.0675 3.4309 1.4449 0.7382 16.481
 24 1.253350e+06 4.0677 3.4230 1.3109 0.7383 16.668
 25 1.292340e+06 4.0594 3.4203 0.7353 0.7353 16.668
