#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.5196 3.4900 1.8000 0.5329 0.349
  2 5.829440e+04 3.5315 3.4883 1.8000 0.5340 0.349
  3 1.173690e+05 3.5445 3.4867 1.8000 0.5353 0.349
  4 1.772590e+05 3.5582 3.4848 1.7999 0.5367 0.349
  5 2.379860e+05 3.5725 3.4830 1.7999 0.5382 0.349
  6 2.995600e+05 3.5874 3.4809 1.7998 0.5398 0.349
  7 3.619750e+05 3.6028 3.4787 1.7997 0.5417 0.349
  8 4.252030e+05 3.6187 3.4764 1.7995 0.5437 0.349
  9 4.891970e+05 3.6349 3.4745 1.7992 0.5458 0.349
 10 5.538840e+05 3.6514 3.4721 1.7988 0.5482 0.349
 11 6.191680e+05 3.6681 3.4697 1.7981 0.5507 0.349
 12 6.849270e+05 3.6849 3.4673 1.7970 0.5534 0.349
 13 7.510170e+05 3.7017 3.4648 1.7952 0.5563 0.349
 14 8.172670e+05 3.7186 3.4623 1.7924 0.5595 0.349
 15 8.834930e+05 3.7353 3.4596 1.7877 0.5628 0.349
 16 9.494930e+05 3.7518 3.4569 1.7802 0.5663 0.349
 17 1.015060e+06 3.7680 3.4537 1.7676 0.5700 0.349
 18 1.079990e+06 3.7840 3.4503 1.7451 0.5738 0.349
 19 1.144090e+06 3.7996 3.4453 1.7004 0.5779 0.349
 20 1.207180e+06 3.8144 3.4351 1.5641 0.5821 0.349
