#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.5012 3.4829 1.6000 0.5389 0.353
  2 5.567280e+04 3.5164 3.4808 1.5999 0.5401 0.353
  3 1.121710e+05 3.5326 3.4785 1.5998 0.5414 0.353
  4 1.695300e+05 3.5496 3.4760 1.5997 0.5429 0.353
  5 2.277720e+05 3.5672 3.4735 1.5994 0.5445 0.353
  6 2.869020e+05 3.5853 3.4709 1.5990 0.5463 0.353
  7 3.469050e+05 3.6039 3.4682 1.5983 0.5483 0.353
  8 4.077440e+05 3.6227 3.4655 1.5972 0.5504 0.353
  9 4.693550e+05 3.6417 3.4627 1.5952 0.5527 0.353
 10 5.316500e+05 3.6608 3.4598 1.5918 0.5552 0.353
 11 5.945130e+05 3.6798 3.4567 1.5858 0.5580 0.353
 12 6.578020e+05 3.6987 3.4531 1.5749 0.5609 0.353
 13 7.213530e+05 3.7174 3.4490 1.5537 0.5640 0.353
 14 7.849840e+05 3.7358 3.4432 1.5057 0.5673 0.353
 15 8.485110e+05 3.7529 3.4120 1.1115 0.5709 0.353
