 age/yr       logL   logTef grav   logTc  logrho Xc,Yc Xc_C    Xc_O    Q_conv Q_disc  logL_H Q1_H  Q2_H    logL_He Q1_He Q2_He  logL_C logL_nu Q_Tmax stage
 0.00000E+00 -1.711  3.590  5.000  6.914  1.989  0.741 1.37E-3 3.85E-3 0.0000 0.0000 -1.710 0.0000 0.0067  0.000 0.0000 0.0000  0.000  0.000  0.0000  ZAMS                
 2.48810E+10 -1.643  3.592  4.942  6.893  1.903  0.723 1.37E-3 3.85E-3 0.0000 0.0000 -1.643 0.0000 0.0383  0.000 0.0000 0.0000  0.000  0.000  0.0000  F    
