 age/yr       logL   logTef grav   logTc  logrho Xc,Yc Xc_C    Xc_O    Q_conv Q_disc  logL_H Q1_H  Q2_H    logL_He Q1_He Q2_He  logL_C logL_nu Q_Tmax stage
 0.00000E+00 -1.871  3.611  5.098  6.865  2.197  0.768 1.71E-4 4.81E-4 0.0000 0.0000 -1.871 0.0000 0.0039  0.000 0.0000 0.0000  0.000  0.000  0.0000  ZAMS                
 2.48810E+10 -1.800  3.614  5.039  6.847  2.111  0.747 1.71E-4 4.81E-4 0.0000 0.0000 -1.800 0.0000 0.0380  0.000 0.0000 0.0000  0.000  0.000  0.0000  F  
