 age/yr       logL   logTef grav   logTc  logrho Xc,Yc Xc_C    Xc_O    Q_conv Q_disc  logL_H Q1_H  Q2_H    logL_He Q1_He Q2_He  logL_C logL_nu Q_Tmax stage
 0.00000E+00 -1.722  3.620  5.063  6.896  2.111  0.769 1.71E-4 4.81E-4 0.0000 0.0000 -1.722 0.0000 0.0144  0.000 0.0000 0.0000  0.000  0.000  0.0000  ZAMS                
 2.53203E+10 -1.649  3.623  5.003  6.876  2.023  0.747 1.71E-4 4.81E-4 0.0000 0.0000 -1.649 0.0000 0.0445  0.000 0.0000 0.0000  0.000  0.000  0.0000  F   
