#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 4.3653 3.5456 4.5000 0.9722 0.359
  2 1.761730e+03 4.4001 3.5412 4.4999 0.9729 0.361
  3 3.690650e+03 4.4324 3.5376 4.4997 0.9733 0.363
  4 5.795140e+03 4.4626 3.5337 4.4991 0.9736 0.367
  5 8.078750e+03 4.4905 3.5301 4.4978 0.9740 0.372
  6 1.052770e+04 4.5159 3.5268 4.4951 0.9742 0.378
  7 1.311990e+04 4.5384 3.5237 4.4898 0.9745 0.378
  8 1.583150e+04 4.5579 3.5210 4.4804 0.9747 0.367
  9 1.864050e+04 4.5743 3.5184 4.4644 0.9748 0.342
 10 2.152830e+04 4.5877 3.5166 4.4388 0.9750 0.304
 11 2.448090e+04 4.5979 3.5145 4.3995 0.9751 0.260
 12 2.748840e+04 4.6046 3.5125 4.3414 0.9752 0.215
 13 3.054480e+04 4.6072 3.5105 4.2570 0.9753 0.176
 14 3.364770e+04 4.6050 3.5084 4.1343 0.9754 0.148
 15 3.679830e+04 4.5963 3.5060 3.9468 0.9755 0.138
 16 4.000190e+04 4.5743 3.5013 3.6036 0.9755 0.153
 17 4.327440e+04 4.5267 3.4911 2.8887 0.9757 0.177
 18 4.663560e+04 4.4898 3.4798 2.1814 0.9759 0.210
