 age/yr       logL   logTef grav   logTc  logrho Xc,Yc Xc_C    Xc_O    Q_conv Q_disc  logL_H Q1_H  Q2_H    logL_He Q1_He Q2_He  logL_C logL_nu Q_Tmax stage
 0.00000E+00 -1.924  3.551  4.991  6.900  2.007  0.670 5.14E-3 1.44E-2 0.0000 0.0000 -1.923 0.0000 0.0000  0.000 0.0000 0.0000  0.000  0.000  0.0000  ZAMS                
 2.46613E+10 -1.857  3.553  4.933  6.878  1.921  0.655 5.14E-3 1.44E-2 0.0000 0.0000 -1.857 0.0000 0.0236  0.000 0.0000 0.0000  0.000  0.000  0.0000  F    
