 age/yr       logL   logTef grav   logTc  logrho Xc,Yc Xc_C    Xc_O    Q_conv Q_disc  logL_H Q1_H  Q2_H    logL_He Q1_He Q2_He  logL_C logL_nu Q_Tmax stage
 0.00000E+00 -2.523  3.511  5.127  6.782  2.338  0.670 5.14E-3 1.44E-2 0.0000 0.0000 -2.523 0.0000 0.0000  0.000 0.0000 0.0000  0.000  0.000  0.0000  ZAMS                
 2.52997E+10 -2.498  3.513  5.110  6.780  2.314  0.656 5.14E-3 1.44E-2 0.0000 0.0000 -2.497 0.0000 0.0000  0.000 0.0000 0.0000  0.000  0.000  0.0000  F    
