 age/yr       logL   logTef grav   logTc  logrho Xc,Yc Xc_C    Xc_O    Q_conv Q_disc  logL_H Q1_H  Q2_H    logL_He Q1_He Q2_He  logL_C logL_nu Q_Tmax stage
 0.00000E+00 -1.407  3.589  4.847  6.957  1.829  0.663 5.08E-3 1.44E-2 0.0212 0.3147 -1.406 0.0000 0.0289  0.000 0.0000 0.0000  0.000  0.000  0.0000  ZAMS                
 6.99896E+09 -1.382  3.591  4.828  6.954  1.864  0.599 4.31E-3 1.44E-2 0.0000 0.5632 -1.382 0.0000 0.0371  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 2.02085E+10 -1.352  3.594  4.810  6.966  1.939  0.498 2.84E-3 1.44E-2 0.0000 0.6224 -1.352 0.0000 0.0371  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 2.35145E+10 -1.345  3.594  4.805  6.969  1.957  0.476 2.47E-3 1.44E-2 0.0000 0.6267 -1.345 0.0000 0.0371  0.000 0.0000 0.0000  0.000  0.000  0.0000  F    
