# Mass MS HB MS+HB
0.75	3.1573902900000015E10	1.2877161891510001E8	3.1702674518915115E10
0.8	2.5800629232410004E10	1.37350402203E8	2.5937979634613003E10
0.82	2.3731062781009995E10	1.3738379511444E8	2.3868446576124435E10
0.84	2.1861756032210007E10	1.3741718802587998E8	2.1999173220235886E10
0.85	2.101489714914E10	1.374338844816E8	2.11523310336216E10
0.86	2.0168038266069992E10	1.3703311519386E8	2.030507138126385E10
0.88	1.8632568114559998E10	1.3623157661838E8	1.876879969117838E10
0.9	1.7236414958960007E10	1.354300380429E8	1.7371844997002907E10
0.92	1.596666613614E10	1.3524338369037998E8	1.610190951983038E10
0.94	1.4808087933780006E10	1.3505672933786E8	1.4943144663117867E10
0.95	1.4280747387970009E10	1.349634021616E8	1.4415710790131609E10
0.96	1.3753406842160004E10	1.3386621969098E8	1.3887273061850985E10
0.98	1.2785744989220001E10	1.3167185474974E8	1.2917416843969742E10
1.0	1.1900799467E10	1.294774898085E8	1.20302769568085E10
1.02	1.1088910702760002E10	1.277342307955E8	1.1216644933555502E10
1.04	1.0343889480199997E10	1.259909717825E8	1.0469880451982496E10
1.05	1.0001611546471497E10	1.25119342276E8	1.0126730888747496E10
1.06	9.659333612742996E9	1.2617649696305999E8	9.785510109706057E9
1.08	9.029883399856003E9	1.2829080633718E8	9.158174206193182E9
1.1	8.450607560444996E9	1.304051157113E8	8.581012676156296E9
1.12	7.922838739978996E9	1.2948534955774E8	8.0523240895367365E9
1.14	7.435514546281998E9	1.2856558340418002E8	7.564080129686177E9
1.15	7.201397186028004E9	1.281057003274E8	7.329502886355404E9
1.16	6.967279825774002E9	1.2766896168492E8	7.094948787458922E9
1.18	6.568148621269001E9	1.2679548439996E8	6.694944105668961E9
1.2	6.160911775448002E9	1.25922007115E8	6.286833782563002E9
1.22	5.870595880402E9	1.2524463716819999E8	5.9958405175702E9
1.24	5.407392869658001E9	1.245672672214E8	5.531960136879401E9
1.25	5.282094634383999E9	1.24228582248E8	5.406323216631999E9
1.26	5.156796399110001E9	1.2665032489286E8	5.283446724002861E9
1.28	4.888061668468002E9	1.3149381018258E8	5.019555478650582E9
1.3	4.666292127154999E9	1.363372954723E8	4.802629422627298E9
1.32	4.416924914623001E9	1.3227379753625998E8	4.549198712159261E9
1.34	4.1668797761190014E9	1.2821029960021996E8	4.295090075719221E9
1.35	4.075685265269001E9	1.261785506322E8	4.2018638159012012E9
1.36	3.9844907544190006E9	1.2697167464942001E8	4.1114624290684204E9
1.38	3.792524671282999E9	1.2855792268385999E8	3.921082593966859E9
1.4	3.6168045271970005E9	1.301441707183E8	3.7469486979153004E9
1.42	3.4495982209559994E9	1.2653684112405998E8	3.5761350620800595E9
1.44	3.2953364402579994E9	1.2292951152981997E8	3.4182659517878194E9
1.45	3.2189027214419994E9	1.2112584673269999E8	3.3400285681746993E9
1.46	3.1424690026259995E9	1.241088619605E8	3.266577864586499E9
1.48	3.007413237460001E9	1.3007489241610003E8	3.137488129876101E9
1.5	2.8992176336989994E9	1.360409228717E8	3.035258556570699E9
1.55	2.6142928551414986E9	1.257979884177E8	2.7400908435591984E9
1.6	2.3293680765839996E9	1.316568930501E8	2.4610249696340995E9
1.65	2.1194525169805002E9	1.2673469353440002E8	2.2461872105149E9
1.7	1.9095369573769999E9	1.346533116145E8	2.0441902689915E9
1.75	1.7575827660349998E9	1.348339738891E8	1.8924167399241E9
1.8	1.6056285746929998E9	1.379271374085E8	1.7435557121014998E9
1.85	1.4864806776694994E9	1.474162088104E8	1.6338968864798994E9
1.9	1.367332780646E9	1.472137976558E8	1.5145465783018E9
1.95	1.2722087921395001E9	1.8729040415120006E8	1.4594991962907002E9
2.0	1.177084803633E9	1.7540710479119998E8	1.3524919084241998E9
2.05	1.3521117678759995E9	0.0	1.3521117678759995E9
2.1	1.2639378478679996E9	0.0	1.2639378478679996E9
2.15	1.185145603526E9	0.0	1.185145603526E9
2.2	1.135591890492E9	0.0	1.135591890492E9
2.4	8.849597100442E8	0.0	8.849597100442E8
2.6	7.004057104847999E8	0.0	7.004057104847999E8
2.8	5.629916482475998E8	0.0	5.629916482475998E8
3.0	4.605444128764E8	0.0	4.605444128764E8
3.2	3.819234739719999E8	0.0	3.819234739719999E8
3.4	3.2080729015569997E8	0.0	3.2080729015569997E8
3.6	2.734288529985E8	0.0	2.734288529985E8
3.8	2.3569164017949998E8	0.0	2.3569164017949998E8
4.0	2.0535453032710004E8	0.0	2.0535453032710004E8
4.2	1.8028742694820005E8	0.0	1.8028742694820005E8
4.4	1.595803618915E8	0.0	1.595803618915E8
4.6	1.423490613535E8	0.0	1.423490613535E8
4.8	1.2752003205979997E8	0.0	1.2752003205979997E8
5.0	1.1522364674989998E8	0.0	1.1522364674989998E8
5.2	1.046424856785E8	0.0	1.046424856785E8
5.4	9.528352026616001E7	0.0	9.528352026616001E7
5.6	8.745149154479003E7	0.0	8.745149154479003E7
5.8	8.040482819642997E7	0.0	8.040482819642997E7
6.0	7.429470120783001E7	0.0	7.429470120783001E7
6.5	6.191678503462002E7	0.0	6.191678503462002E7
7.0	5.2511168681260005E7	0.0	5.2511168681260005E7
7.5	4.527346533311999E7	0.0	4.527346533311999E7
8.0	3.962391347335E7	0.0	3.962391347335E7
8.5	3.4965426472660005E7	0.0	3.4965426472660005E7
9.0	3.1202891117119998E7	0.0	3.1202891117119998E7
9.5	2.8178173999849997E7	0.0	2.8178173999849997E7
10.0	2.5586909099030003E7	0.0	2.5586909099030003E7
11.0	2.160295723331E7	0.0	2.160295723331E7
