#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 2.9893 3.6210 1.9000 0.4857 0.323
  2 2.427470e+05 3.0031 3.6195 1.9000 0.4863 0.323
  3 4.977820e+05 3.0191 3.6182 1.9000 0.4869 0.323
  4 7.661000e+05 3.0370 3.6168 1.9000 0.4877 0.323
  5 1.048560e+06 3.0574 3.6151 1.9000 0.4886 0.323
  6 1.345730e+06 3.0804 3.6132 1.9000 0.4896 0.323
  7 1.657610e+06 3.1064 3.6111 1.9000 0.4909 0.323
  8 1.983420e+06 3.1355 3.6086 1.9000 0.4925 0.323
  9 2.321310e+06 3.1679 3.6059 1.9000 0.4944 0.323
 10 2.668230e+06 3.2034 3.6028 1.9000 0.4967 0.323
 11 3.020060e+06 3.2417 3.5993 1.9000 0.4993 0.323
 12 3.372110e+06 3.2823 3.5959 1.9000 0.5025 0.323
 13 3.719690e+06 3.3245 3.5922 1.9000 0.5062 0.323
 14 4.058730e+06 3.3676 3.5885 1.9000 0.5104 0.323
 15 4.386050e+06 3.4110 3.5847 1.9000 0.5152 0.323
 16 4.699380e+06 3.4541 3.5808 1.9000 0.5205 0.323
 17 4.997170e+06 3.4963 3.5771 1.9000 0.5264 0.323
 18 5.278450e+06 3.5372 3.5734 1.9000 0.5328 0.323
 19 5.542700e+06 3.5766 3.5698 1.9000 0.5397 0.496
 20 5.789760e+06 3.6092 3.5650 1.9000 0.5455 0.790
 21 6.026460e+06 3.6375 3.5590 1.9000 0.5507 1.170
 22 6.257470e+06 3.6629 3.5281 1.8993 0.5556 1.610
 23 6.483600e+06 3.6860 3.5086 1.8979 0.5601 2.086
 24 6.704500e+06 3.7073 3.4971 1.8957 0.5645 2.579
 25 6.919570e+06 3.7268 3.4880 1.8925 0.5688 3.075
 26 7.128270e+06 3.7449 3.4802 1.8884 0.5730 3.563
 27 7.330220e+06 3.7616 3.4734 1.8831 0.5771 4.035
 28 7.525260e+06 3.7771 3.4673 1.8766 0.5812 4.485
 29 7.713310e+06 3.7916 3.4615 1.8688 0.5852 4.912
 30 7.894380e+06 3.8053 3.4564 1.8598 0.5893 5.314
 31 8.068530e+06 3.8181 3.4515 1.8495 0.5933 5.692
 32 8.235880e+06 3.8304 3.4465 1.8380 0.5973 6.047
 33 8.396560e+06 3.8421 3.4420 1.8252 0.6014 6.379
 34 8.550700e+06 3.8533 3.4378 1.8113 0.6055 6.690
 35 8.698450e+06 3.8641 3.4335 1.7964 0.6097 6.982
 36 8.839970e+06 3.8746 3.4297 1.7804 0.6139 7.256
 37 8.975420e+06 3.8847 3.4258 1.7635 0.6180 7.510
 38 9.105070e+06 3.8946 3.4221 1.7458 0.6223 7.750
 39 9.229030e+06 3.9043 3.4182 1.7272 0.6266 7.974
 40 9.347460e+06 3.9138 3.4147 1.7079 0.6309 8.186
 41 9.460550e+06 3.9232 3.4107 1.6879 0.6353 8.384
 42 9.568460e+06 3.9324 3.4072 1.6658 0.6397 8.571
 43 9.671380e+06 3.9416 3.3871 1.4310 0.6442 8.727
