#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.2593 3.5860 1.5000 0.5277 0.328
  2 1.630370e+05 3.3027 3.5821 1.5000 0.5296 0.328
  3 3.536240e+05 3.3554 3.5772 1.5000 0.5323 0.350
  4 5.702630e+05 3.4142 3.5716 1.5000 0.5358 0.426
  5 8.041790e+05 3.4749 3.5651 1.5000 0.5399 0.589
  6 1.044900e+06 3.5337 3.5577 1.5000 0.5446 0.858
  7 1.283630e+06 3.5876 3.5493 1.5000 0.5498 1.223
  8 1.515060e+06 3.6355 3.5091 1.4988 0.5554 1.644
  9 1.736620e+06 3.6775 3.4871 1.4963 0.5612 2.093
 10 1.947220e+06 3.7140 3.4721 1.4925 0.5673 2.554
 11 2.146510e+06 3.7456 3.4597 1.4871 0.5734 3.010
 12 2.334590e+06 3.7730 3.4492 1.4801 0.5797 3.450
 13 2.511770e+06 3.7971 3.4398 1.4714 0.5859 3.868
 14 2.678500e+06 3.8186 3.4314 1.4611 0.5922 4.260
 15 2.835230e+06 3.8379 3.4239 1.4491 0.5985 4.625
 16 2.982480e+06 3.8555 3.4168 1.4357 0.6048 4.963
 17 3.120770e+06 3.8717 3.4000 1.3030 0.6111 5.231
 18 3.208720e+06 3.8729 3.3817 0.6138 0.6138 5.231
