#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.7900 3.5760 1.5000 0.6305 0.307
  2 6.370970e+04 3.8197 3.5728 1.4977 0.6340 0.505
  3 1.509730e+05 3.8555 3.5666 1.4894 0.6384 1.168
  4 2.512450e+05 3.8897 3.5372 1.4890 0.6434 2.426
  5 3.548210e+05 3.9167 3.5024 1.4870 0.6484 4.003
  6 4.574580e+05 3.9364 3.4825 1.4810 0.6529 5.538
  7 5.579060e+05 3.9505 3.4676 1.4685 0.6570 6.842
  8 6.558030e+05 3.9613 3.4560 1.4479 0.6608 7.920
  9 7.508190e+05 3.9702 3.4464 1.4190 0.6645 8.814
 10 8.426180e+05 3.9781 3.4374 1.3820 0.6683 9.563
 11 9.308890e+05 3.9856 3.4294 1.3373 0.6721 10.198
 12 1.015350e+06 3.9931 3.4219 1.2859 0.6762 10.743
 13 1.095770e+06 4.0006 3.4146 1.2271 0.6804 11.213
 14 1.160420e+06 4.0042 3.4078 0.6828 0.6828 11.213
