#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 4.2524 3.4862 4.5000 0.8421 0.360
  2 4.412990e+03 4.2651 3.4843 4.4998 0.8432 0.360
  3 9.047790e+03 4.2769 3.4826 4.4996 0.8440 0.361
  4 1.392750e+04 4.2881 3.4812 4.4992 0.8447 0.362
  5 1.907710e+04 4.2987 3.4796 4.4988 0.8454 0.363
  6 2.450400e+04 4.3085 3.4782 4.4981 0.8460 0.365
  7 3.020260e+04 4.3177 3.4770 4.4973 0.8466 0.368
  8 3.615890e+04 4.3261 3.4756 4.4961 0.8472 0.371
  9 4.235330e+04 4.3337 3.4747 4.4946 0.8476 0.374
 10 4.876320e+04 4.3406 3.4737 4.4928 0.8481 0.378
 11 5.536540e+04 4.3467 3.4725 4.4905 0.8484 0.383
 12 6.213670e+04 4.3523 3.4717 4.4878 0.8487 0.387
 13 6.905530e+04 4.3573 3.4710 4.4846 0.8490 0.393
 14 7.610140e+04 4.3618 3.4703 4.4809 0.8493 0.398
 15 8.325690e+04 4.3660 3.4692 4.4766 0.8495 0.404
 16 9.050600e+04 4.3698 3.4686 4.4717 0.8496 0.410
 17 9.783510e+04 4.3732 3.4680 4.4661 0.8498 0.417
 18 1.052320e+05 4.3765 3.4674 4.4597 0.8499 0.423
 19 1.126880e+05 4.3796 3.4669 4.4527 0.8500 0.430
 20 1.201930e+05 4.3825 3.4663 4.4448 0.8501 0.437
 21 1.277400e+05 4.3852 3.4656 4.4360 0.8502 0.445
 22 1.353240e+05 4.3879 3.4650 4.4262 0.8503 0.452
 23 1.429390e+05 4.3904 3.4640 4.4153 0.8503 0.459
 24 1.505820e+05 4.3928 3.4634 4.4031 0.8504 0.467
 25 1.582500e+05 4.3951 3.4628 4.3894 0.8504 0.474
 26 1.659390e+05 4.3973 3.4622 4.3739 0.8504 0.482
 27 1.736470e+05 4.3994 3.4615 4.3565 0.8505 0.490
 28 1.813740e+05 4.4014 3.4608 4.3369 0.8505 0.498
 29 1.891170e+05 4.4032 3.4601 4.3146 0.8505 0.506
 30 1.968760e+05 4.4048 3.4593 4.2892 0.8505 0.514
 31 2.046510e+05 4.4062 3.4582 4.2600 0.8506 0.522
 32 2.124400e+05 4.4073 3.4572 4.2259 0.8506 0.531
 33 2.202440e+05 4.4080 3.4563 4.1857 0.8506 0.539
 34 2.280630e+05 4.4083 3.4553 4.1376 0.8506 0.548
 35 2.358970e+05 4.4080 3.4540 4.0790 0.8506 0.557
 36 2.437460e+05 4.4066 3.4523 4.0048 0.8506 0.566
 37 2.516090e+05 4.4039 3.4506 3.9068 0.8507 0.575
 38 2.594840e+05 4.3987 3.4478 3.7646 0.8507 0.585
 39 2.673670e+05 4.3875 3.4429 3.5072 0.8508 0.595
 40 2.752480e+05 4.3449 3.4198 2.4908 0.8509 0.605
 41 2.831180e+05 4.3185 3.4196 1.2434 0.8521 0.605
