#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.2657 3.5360 1.5000 0.5176 0.351
  2 1.098950e+05 3.2895 3.5333 1.5000 0.5188 0.351
  3 2.250790e+05 3.3157 3.5306 1.5000 0.5202 0.351
  4 3.458570e+05 3.3440 3.5274 1.5000 0.5218 0.351
  5 4.723680e+05 3.3743 3.5241 1.5000 0.5237 0.351
  6 6.044940e+05 3.4065 3.5202 1.5000 0.5259 0.351
  7 7.417750e+05 3.4402 3.5167 1.5000 0.5284 0.351
  8 8.833560e+05 3.4749 3.5125 1.4999 0.5313 0.351
  9 1.027990e+06 3.5102 3.5083 1.4998 0.5347 0.351
 10 1.174130e+06 3.5455 3.5039 1.4996 0.5384 0.351
 11 1.320090e+06 3.5802 3.5000 1.4989 0.5426 0.351
 12 1.464210e+06 3.6139 3.4957 1.4974 0.5472 0.351
 13 1.605060e+06 3.6462 3.4916 1.4939 0.5521 0.351
 14 1.741550e+06 3.6768 3.4869 1.4860 0.5573 0.351
 15 1.872890e+06 3.7057 3.4824 1.4677 0.5627 0.351
 16 1.998630e+06 3.7327 3.4762 1.4202 0.5684 0.351
 17 2.118610e+06 3.7572 3.4460 0.9791 0.5743 0.351
