#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 4.2707 3.6187 4.0000 0.8912 0.291
  2 4.119350e+03 4.2857 3.6176 4.0000 0.8919 0.370
  3 1.076880e+04 4.3057 3.6149 4.0000 0.8923 0.525
  4 1.788230e+04 4.3234 3.6120 4.0000 0.8925 0.700
  5 2.510080e+04 4.3387 3.6092 4.0000 0.8925 0.883
  6 3.236390e+04 4.3521 3.6063 4.0000 0.8926 1.071
  7 3.965870e+04 4.3637 3.6030 4.0000 0.8926 1.263
  8 4.698050e+04 4.3739 3.5995 4.0000 0.8926 1.457
  9 5.432590e+04 4.3829 3.5962 4.0000 0.8926 1.653
 10 6.169210e+04 4.3908 3.5930 4.0000 0.8927 1.848
 11 6.907650e+04 4.3978 3.5899 4.0000 0.8927 2.033
 12 7.647710e+04 4.4041 3.5869 4.0000 0.8927 2.190
 13 8.389180e+04 4.4098 3.5836 4.0000 0.8927 2.281
 14 9.131900e+04 4.4149 3.5800 3.9999 0.8927 2.261
 15 9.875740e+04 4.4196 3.5764 3.9999 0.8927 2.116
 16 1.062060e+05 4.4239 3.5729 3.9999 0.8927 1.869
 17 1.136630e+05 4.4279 3.5706 3.9999 0.8928 1.541
 18 1.211290e+05 4.4317 3.5703 3.9998 0.8928 1.185
 19 1.286020e+05 4.4353 3.5740 3.9998 0.8928 0.849
 20 1.360830e+05 4.4387 3.5797 3.9998 0.8928 0.584
 21 1.435690e+05 4.4420 3.5806 3.9998 0.8928 0.418
 22 1.510610e+05 4.4452 3.5803 3.9998 0.8928 0.338
 23 1.585560e+05 4.4482 3.5797 3.9998 0.8928 0.310
 24 1.660540e+05 4.4512 3.5789 3.9997 0.8928 0.304
 25 1.735570e+05 4.4542 3.5779 3.9997 0.8928 0.306
 26 1.810630e+05 4.4571 3.5769 3.9997 0.8928 0.311
 27 1.885730e+05 4.4600 3.5760 3.9996 0.8928 0.317
 28 1.960870e+05 4.4628 3.5748 3.9996 0.8928 0.323
 29 2.036040e+05 4.4656 3.5737 3.9995 0.8928 0.330
 30 2.111250e+05 4.4684 3.5728 3.9995 0.8928 0.338
 31 2.186490e+05 4.4712 3.5719 3.9994 0.8928 0.346
