#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.3484 3.5853 1.1000 0.5390 0.358
  2 1.591140e+05 3.3931 3.5812 1.1000 0.5414 0.488
  3 3.603110e+05 3.4475 3.5748 1.0998 0.5443 0.863
  4 5.930590e+05 3.5090 3.5646 1.0987 0.5481 1.647
  5 8.419170e+05 3.5712 3.5199 1.0969 0.5529 2.879
  6 1.091130e+06 3.6282 3.4884 1.0898 0.5583 4.362
  7 1.331630e+06 3.6776 3.4617 1.0701 0.5643 5.810
  8 1.559520e+06 3.7190 3.4387 1.0304 0.5707 7.058
  9 1.773230e+06 3.7538 3.4183 0.9660 0.5776 8.107
 10 1.913250e+06 3.7603 3.4109 0.5800 0.5800 8.107
