#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.3272 3.5916 1.2000 0.5423 0.351
  2 1.536560e+05 3.3783 3.5865 1.2000 0.5447 0.462
  3 3.481580e+05 3.4398 3.5799 1.2000 0.5477 0.801
  4 5.733550e+05 3.5074 3.5696 1.1997 0.5516 1.536
  5 8.143020e+05 3.5738 3.5293 1.1985 0.5563 2.716
  6 1.056460e+06 3.6331 3.4975 1.1932 0.5615 4.164
  7 1.291630e+06 3.6828 3.4719 1.1778 0.5671 5.598
  8 1.516450e+06 3.7232 3.4500 1.1454 0.5728 6.848
  9 1.729510e+06 3.7567 3.4301 1.0914 0.5788 7.915
 10 1.929570e+06 3.7851 3.4090 0.9811 0.5853 8.821
 11 2.042030e+06 3.7750 3.4080 0.5861 0.5861 8.821
