 age/yr       logL   logTef grav   logTc  logrho Xc,Yc Xc_C    Xc_O    Q_conv Q_disc  logL_H Q1_H  Q2_H    logL_He Q1_He Q2_He  logL_C logL_nu Q_Tmax stage
 0.00000E+00 -1.599  3.627  5.036  6.920  2.041  0.769 1.71E-4 4.81E-4 0.0000 0.0000 -1.598 0.0000 0.0226  0.000 0.0000 0.0000  0.000  0.000  0.0000  ZAMS                
 2.55400E+10 -1.524  3.631  4.976  6.901  1.953  0.745 1.71E-4 4.81E-4 0.0000 0.0000 -1.524 0.0000 0.0517  0.000 0.0000 0.0000  0.000  0.000  0.0000  F   
