#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 4.3954 3.6359 3.5000 0.9271 0.296
  2 2.847750e+03 4.4007 3.6355 3.5000 0.9278 0.697
  3 7.564770e+03 4.4077 3.6334 3.5000 0.9283 1.489
  4 1.268070e+04 4.4138 3.6295 3.5000 0.9285 2.373
  5 1.789950e+04 4.4193 3.6254 3.5000 0.9285 3.268
  6 2.316470e+04 4.4243 3.6213 3.5000 0.9286 4.153
  7 2.846250e+04 4.4288 3.6170 3.5000 0.9286 5.016
  8 3.378720e+04 4.4329 3.6131 3.4999 0.9287 5.854
  9 3.913480e+04 4.4367 3.6094 3.4999 0.9287 6.661
 10 4.450230e+04 4.4402 3.6061 3.4998 0.9287 7.435
 11 4.988690e+04 4.4434 3.6025 3.4996 0.9288 8.176
 12 5.528650e+04 4.4465 3.5995 3.4994 0.9288 8.882
 13 6.069910e+04 4.4493 3.5966 3.4991 0.9288 9.555
 14 6.612320e+04 4.4520 3.5938 3.4986 0.9288 10.200
 15 7.155760e+04 4.4546 3.5908 3.4981 0.9288 10.813
 16 7.700140e+04 4.4570 3.5880 3.4974 0.9288 11.395
 17 8.245360e+04 4.4594 3.5856 3.4965 0.9288 11.945
 18 8.791380e+04 4.4618 3.5831 3.4954 0.9289 12.462
 19 9.338150e+04 4.4640 3.5802 3.4942 0.9289 12.944
 20 9.885640e+04 4.4662 3.5773 3.4927 0.9289 13.385
 21 1.043380e+05 4.4684 3.5745 3.4908 0.9289 13.778
 22 1.098270e+05 4.4705 3.5712 3.4886 0.9289 14.110
 23 1.153230e+05 4.4725 3.5671 3.4859 0.9289 14.381
 24 1.208270e+05 4.4745 3.5634 3.4828 0.9289 14.580
 25 1.263390e+05 4.4765 3.5591 3.4793 0.9289 14.692
 26 1.318590e+05 4.4784 3.5546 3.4754 0.9289 14.720
 27 1.373880e+05 4.4802 3.5502 3.4710 0.9289 14.667
 28 1.429230e+05 4.4820 3.5462 3.4663 0.9289 14.522
 29 1.484680e+05 4.4838 3.5420 3.4612 0.9289 14.338
 30 1.540220e+05 4.4856 3.5378 3.4558 0.9290 14.059
 31 1.595870e+05 4.4873 3.5340 3.4503 0.9290 13.713
 32 1.651630e+05 4.4890 3.5303 3.4446 0.9290 13.303
 33 1.707490e+05 4.4906 3.5269 3.4376 0.9290 12.843
 34 1.763470e+05 4.4922 3.5240 3.4301 0.9290 12.337
