#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 4.1253 3.5114 3.5000 0.7787 0.351
  2 1.018480e+04 4.1379 3.5100 3.4998 0.7801 0.353
  3 2.162490e+04 4.1498 3.5086 3.4994 0.7811 0.358
  4 3.433420e+04 4.1613 3.5072 3.4989 0.7820 0.366
  5 4.828050e+04 4.1722 3.5054 3.4982 0.7827 0.378
  6 6.330880e+04 4.1822 3.5043 3.4972 0.7835 0.393
  7 7.922040e+04 4.1910 3.5031 3.4958 0.7841 0.411
  8 9.582270e+04 4.1986 3.5020 3.4940 0.7846 0.432
  9 1.129520e+05 4.2053 3.5010 3.4918 0.7850 0.456
 10 1.304800e+05 4.2111 3.5000 3.4891 0.7854 0.482
 11 1.483100e+05 4.2161 3.4991 3.4859 0.7858 0.510
 12 1.663700e+05 4.2207 3.4982 3.4821 0.7861 0.540
 13 1.846100e+05 4.2249 3.4973 3.4777 0.7864 0.571
 14 2.029930e+05 4.2288 3.4963 3.4727 0.7867 0.603
 15 2.214940e+05 4.2326 3.4955 3.4669 0.7869 0.636
 16 2.400930e+05 4.2362 3.4949 3.4603 0.7872 0.671
 17 2.587770e+05 4.2398 3.4940 3.4527 0.7875 0.707
 18 2.775360e+05 4.2434 3.4930 3.4439 0.7877 0.743
 19 2.963620e+05 4.2469 3.4921 3.4339 0.7880 0.780
 20 3.152490e+05 4.2505 3.4913 3.4220 0.7882 0.819
 21 3.341900e+05 4.2540 3.4901 3.4081 0.7885 0.858
 22 3.531820e+05 4.2575 3.4892 3.3917 0.7887 0.898
 23 3.722140e+05 4.2609 3.4881 3.3721 0.7890 0.940
 24 3.912870e+05 4.2641 3.4863 3.3477 0.7893 0.982
 25 4.103950e+05 4.2680 3.4844 3.3361 0.7896 1.025
 26 4.295200e+05 4.2723 3.4427 3.3355 0.7899 1.068
 27 4.486710e+05 4.2768 3.4308 3.3345 0.7902 1.113
 28 4.678610e+05 4.2814 3.4255 3.3334 0.7905 1.158
 29 4.870870e+05 4.2860 3.4216 3.3322 0.7908 1.204
 30 5.063440e+05 4.2863 3.4167 3.2476 0.7912 1.252
 31 5.256820e+05 4.2852 3.4113 3.1427 0.7915 1.302
 32 5.449660e+05 4.2822 3.4054 3.0092 0.7920 1.354
 33 5.641450e+05 4.2764 3.3978 2.8305 0.7925 1.409
 34 5.831360e+05 4.2655 3.3865 2.5556 0.7932 1.466
 35 6.017890e+05 4.2431 3.3644 1.9924 0.7942 1.519
 36 6.127640e+05 4.2159 3.2776 0.7944 0.7944 1.519
