#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 2.8062 3.6166 1.9500 0.4780 0.333
  2 2.264290e+05 2.8161 3.6158 1.9500 0.4783 0.333
  3 4.570510e+05 2.8271 3.6149 1.9500 0.4786 0.333
  4 6.921500e+05 2.8388 3.6140 1.9500 0.4789 0.333
  5 9.320300e+05 2.8515 3.6129 1.9500 0.4793 0.333
  6 1.177000e+06 2.8651 3.6118 1.9500 0.4797 0.333
  7 1.427390e+06 2.8797 3.6106 1.9500 0.4802 0.333
  8 1.683510e+06 2.8955 3.6093 1.9500 0.4807 0.333
  9 1.945680e+06 2.9126 3.6079 1.9500 0.4813 0.333
 10 2.214170e+06 2.9310 3.6064 1.9500 0.4819 0.333
 11 2.489220e+06 2.9509 3.6047 1.9500 0.4827 0.333
 12 2.770960e+06 2.9724 3.6030 1.9500 0.4835 0.333
 13 3.059420e+06 2.9956 3.6010 1.9500 0.4845 0.333
 14 3.354470e+06 3.0206 3.5989 1.9500 0.4856 0.333
 15 3.655730e+06 3.0475 3.5966 1.9500 0.4868 0.333
 16 3.962580e+06 3.0762 3.5942 1.9500 0.4883 0.333
 17 4.274070e+06 3.1069 3.5916 1.9500 0.4899 0.333
 18 4.588890e+06 3.1393 3.5888 1.9500 0.4918 0.333
 19 4.905450e+06 3.1734 3.5858 1.9500 0.4940 0.333
 20 5.221830e+06 3.2090 3.5827 1.9500 0.4965 0.333
 21 5.535980e+06 3.2459 3.5794 1.9500 0.4993 0.333
 22 5.845790e+06 3.2837 3.5761 1.9500 0.5024 0.333
 23 6.149210e+06 3.3221 3.5726 1.9500 0.5060 0.333
 24 6.444430e+06 3.3609 3.5691 1.9500 0.5100 0.333
 25 6.729880e+06 3.3996 3.5655 1.9500 0.5143 0.333
 26 7.004340e+06 3.4379 3.5619 1.9500 0.5191 0.333
 27 7.266870e+06 3.4756 3.5584 1.9500 0.5243 0.333
 28 7.516810e+06 3.5125 3.5549 1.9500 0.5299 0.333
 29 7.753780e+06 3.5482 3.5514 1.9500 0.5358 0.333
 30 7.977590e+06 3.5826 3.5478 1.9500 0.5421 0.333
 31 8.188290e+06 3.6156 3.5446 1.9500 0.5487 0.333
 32 8.386060e+06 3.6471 3.5415 1.9499 0.5555 0.333
 33 8.571270e+06 3.6770 3.5385 1.9498 0.5626 0.333
 34 8.744390e+06 3.7054 3.5353 1.9497 0.5697 0.333
 35 8.905970e+06 3.7323 3.5327 1.9494 0.5770 0.388
 36 9.056660e+06 3.7548 3.5298 1.9489 0.5832 0.484
 37 9.199560e+06 3.7743 3.5268 1.9482 0.5887 0.609
 38 9.337080e+06 3.7917 3.5236 1.9469 0.5938 0.755
 39 9.470280e+06 3.8074 3.5207 1.9449 0.5984 0.917
 40 9.599650e+06 3.8218 3.5167 1.9416 0.6028 1.090
 41 9.725370e+06 3.8352 3.4736 1.9392 0.6069 1.270
 42 9.847500e+06 3.8477 3.4577 1.9356 0.6109 1.453
 43 9.966080e+06 3.8594 3.4492 1.9311 0.6148 1.637
 44 1.008110e+07 3.8704 3.4426 1.9257 0.6185 1.821
 45 1.019260e+07 3.8809 3.4371 1.9195 0.6222 2.002
 46 1.030070e+07 3.8910 3.4322 1.9126 0.6258 2.180
 47 1.040530e+07 3.9006 3.4276 1.9048 0.6294 2.355
 48 1.050650e+07 3.9099 3.4234 1.8963 0.6329 2.524
 49 1.060430e+07 3.9188 3.4195 1.8870 0.6364 2.689
 50 1.069900e+07 3.9275 3.4159 1.8756 0.6400 2.849
 51 1.079040e+07 3.9360 3.4076 1.7986 0.6435 3.003
 52 1.087880e+07 3.9447 3.3660 1.2798 0.6473 3.104
