#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 4.2636 3.5319 4.5000 0.8512 0.344
  2 5.611070e+03 4.2773 3.5300 4.4999 0.8522 0.346
  3 1.186210e+04 4.2905 3.5285 4.4998 0.8528 0.350
  4 1.875290e+04 4.3036 3.5271 4.4995 0.8534 0.357
  5 2.628760e+04 4.3162 3.5253 4.4992 0.8539 0.366
  6 3.441370e+04 4.3283 3.5241 4.4987 0.8543 0.377
  7 4.304980e+04 4.3395 3.5224 4.4981 0.8547 0.391
  8 5.210790e+04 4.3497 3.5214 4.4972 0.8550 0.407
  9 6.150500e+04 4.3590 3.5200 4.4960 0.8553 0.426
 10 7.117010e+04 4.3673 3.5191 4.4944 0.8555 0.446
 11 8.104500e+04 4.3749 3.5182 4.4925 0.8557 0.467
 12 9.108410e+04 4.3817 3.5171 4.4902 0.8559 0.490
 13 1.012520e+05 4.3879 3.5164 4.4874 0.8561 0.513
 14 1.115230e+05 4.3936 3.5158 4.4841 0.8562 0.535
 15 1.218770e+05 4.3990 3.5148 4.4803 0.8563 0.557
 16 1.322990e+05 4.4039 3.5142 4.4759 0.8565 0.574
 17 1.427790e+05 4.4086 3.5137 4.4708 0.8566 0.587
 18 1.533090e+05 4.4131 3.5132 4.4650 0.8567 0.593
 19 1.638830e+05 4.4173 3.5123 4.4584 0.8568 0.592
 20 1.744980e+05 4.4214 3.5117 4.4509 0.8569 0.584
 21 1.851510e+05 4.4254 3.5112 4.4423 0.8569 0.570
 22 1.958390e+05 4.4292 3.5103 4.4326 0.8570 0.549
 23 2.065630e+05 4.4329 3.5098 4.4216 0.8571 0.522
 24 2.173200e+05 4.4364 3.5093 4.4089 0.8572 0.491
 25 2.281120e+05 4.4398 3.5087 4.3946 0.8573 0.456
 26 2.389380e+05 4.4430 3.5078 4.3781 0.8574 0.419
 27 2.498000e+05 4.4460 3.5072 4.3592 0.8575 0.380
 28 2.606980e+05 4.4488 3.5062 4.3375 0.8576 0.342
 29 2.716340e+05 4.4513 3.5056 4.3120 0.8577 0.306
 30 2.826090e+05 4.4534 3.5050 4.2827 0.8578 0.274
 31 2.936260e+05 4.4550 3.5039 4.2480 0.8579 0.247
 32 3.046880e+05 4.4560 3.5033 4.2072 0.8579 0.226
 33 3.157980e+05 4.4562 3.5021 4.1583 0.8580 0.211
 34 3.269610e+05 4.4555 3.5009 4.0995 0.8581 0.204
 35 3.381810e+05 4.4536 3.4999 4.0271 0.8582 0.204
 36 3.494660e+05 4.4499 3.4985 3.9355 0.8583 0.212
 37 3.608230e+05 4.4436 3.4964 3.8138 0.8585 0.234
 38 3.722650e+05 4.4327 3.4941 3.6383 0.8586 0.276
 39 3.838080e+05 4.4104 3.4893 3.3206 0.8587 0.332
 40 3.954950e+05 4.3291 3.4599 2.0097 0.8589 0.415
