#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.3161 3.6463 0.9000 0.5359 0.363
  2 2.176070e+05 3.3533 3.6437 0.9000 0.5380 0.363
  3 5.180210e+05 3.4098 3.6394 0.9000 0.5419 0.363
  4 8.588340e+05 3.4776 3.6344 0.9000 0.5477 0.363
  5 1.190240e+06 3.5440 3.6293 0.9000 0.5550 0.363
  6 1.498350e+06 3.6038 3.6248 0.8999 0.5635 0.363
  7 1.780650e+06 3.6558 3.6207 0.8998 0.5729 0.363
  8 2.036890e+06 3.7004 3.6176 0.8994 0.5829 0.363
  9 2.268060e+06 3.7385 3.6147 0.8985 0.5932 0.363
 10 2.476020e+06 3.7712 3.6126 0.8968 0.6036 0.363
 11 2.663010e+06 3.7997 3.6105 0.8936 0.6138 0.363
 12 2.831430e+06 3.8248 3.6090 0.8882 0.6237 0.363
 13 2.983550e+06 3.8471 3.6078 0.8793 0.6333 0.363
 14 3.121440e+06 3.8672 3.6068 0.8642 0.6425 0.363
 15 3.246970e+06 3.8856 3.6062 0.8359 0.6514 0.363
