#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.9699 3.5543 1.9000 0.6704 0.326
  2 3.995630e+04 3.9799 3.5530 1.8952 0.6735 0.377
  3 9.153040e+04 3.9913 3.5508 1.8865 0.6771 0.532
  4 1.508670e+05 4.0033 3.5472 1.8701 0.6811 0.843
  5 2.138670e+05 4.0143 3.5410 1.8349 0.6853 1.302
  6 2.774890e+05 4.0239 3.5002 1.8341 0.6894 1.858
  7 3.399550e+05 4.0322 3.4854 1.8327 0.6932 2.444
  8 4.010390e+05 4.0395 3.4763 1.8304 0.6969 3.014
  9 4.605190e+05 4.0460 3.4693 1.8272 0.7004 3.550
 10 5.183180e+05 4.0521 3.4636 1.8230 0.7039 4.047
 11 5.744160e+05 4.0579 3.4587 1.8178 0.7072 4.507
 12 6.288220e+05 4.0634 3.4543 1.8114 0.7105 4.932
 13 6.815550e+05 4.0689 3.4504 1.8040 0.7137 5.324
 14 7.326430e+05 4.0742 3.4464 1.7956 0.7170 5.687
 15 7.821170e+05 4.0795 3.4433 1.7861 0.7202 6.023
 16 8.300110e+05 4.0847 3.4398 1.7757 0.7233 6.335
 17 8.763620e+05 4.0898 3.4365 1.7643 0.7265 6.626
 18 9.212060e+05 4.0950 3.4340 1.7521 0.7297 6.896
 19 9.645800e+05 4.1001 3.4311 1.7391 0.7329 7.149
 20 1.006520e+06 4.1052 3.4284 1.7255 0.7361 7.384
 21 1.047080e+06 4.1103 3.4255 1.7111 0.7393 7.603
 22 1.086290e+06 4.1153 3.4231 1.6962 0.7425 7.809
 23 1.124180e+06 4.1204 3.4206 1.6808 0.7457 8.003
 24 1.160790e+06 4.1255 3.4182 1.6648 0.7489 8.186
 25 1.196150e+06 4.1306 3.4157 1.6478 0.7521 8.357
 26 1.230290e+06 4.1357 3.4105 1.5859 0.7554 8.517
