#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.7643 3.5653 1.6000 0.6141 0.321
  2 6.988420e+04 3.7940 3.5619 1.5993 0.6176 0.370
  3 1.604560e+05 3.8299 3.5572 1.5970 0.6224 0.544
  4 2.633860e+05 3.8660 3.5508 1.5895 0.6283 0.911
  5 3.685270e+05 3.8967 3.5416 1.5629 0.6346 1.435
  6 4.703770e+05 3.9214 3.4956 1.5616 0.6410 2.018
  7 5.669650e+05 3.9409 3.4806 1.5590 0.6473 2.594
  8 6.584960e+05 3.9569 3.4700 1.5552 0.6533 3.142
  9 7.451640e+05 3.9705 3.4621 1.5499 0.6592 3.654
 10 8.272400e+05 3.9826 3.4552 1.5431 0.6649 4.127
 11 9.049910e+05 3.9937 3.4492 1.5348 0.6705 4.560
 12 9.786690e+05 4.0040 3.4438 1.5250 0.6760 4.957
 13 1.048500e+06 4.0138 3.4387 1.5138 0.6814 5.321
 14 1.114710e+06 4.0232 3.4341 1.5013 0.6867 5.654
 15 1.177480e+06 4.0323 3.4300 1.4876 0.6920 5.959
 16 1.237010e+06 4.0413 3.4259 1.4728 0.6972 6.239
 17 1.293480e+06 4.0500 3.4221 1.4571 0.7024 6.497
 18 1.347050e+06 4.0586 3.4184 1.4406 0.7075 6.734
 19 1.397870e+06 4.0670 3.4150 1.4207 0.7126 6.952
 20 1.446110e+06 4.0753 3.3980 1.0833 0.7176 7.035
