 age/yr       logL   logTef grav   logTc  logrho Xc,Yc Xc_C    Xc_O    Q_conv Q_disc  logL_H Q1_H  Q2_H    logL_He Q1_He Q2_He  logL_C logL_nu Q_Tmax stage
 0.00000E+00 -1.902  3.560  5.006  6.892  2.027  0.708 3.26E-3 9.15E-3 0.0000 0.0000 -1.901 0.0000 0.0000  0.000 0.0000 0.0000  0.000  0.000  0.0000  ZAMS                
 9.48554E+09 -1.851  3.561  4.957  6.872  1.955  0.700 3.26E-3 9.15E-3 0.0000 0.0000 -1.849 0.0000 0.0206  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 2.53203E+10 -1.835  3.562  4.946  6.870  1.941  0.692 3.25E-3 9.15E-3 0.0000 0.0000 -1.835 0.0000 0.0263  0.000 0.0000 0.0000  0.000  0.000  0.0000  F    
