#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 4.1933 3.5160 4.5000 0.7974 0.350
  2 8.241170e+03 4.2015 3.5151 4.5000 0.7985 0.351
  3 1.718880e+04 4.2093 3.5143 4.4999 0.7994 0.353
  4 2.684720e+04 4.2171 3.5132 4.4998 0.8002 0.356
  5 3.724920e+04 4.2248 3.5121 4.4997 0.8009 0.361
  6 4.837980e+04 4.2323 3.5113 4.4996 0.8016 0.367
  7 6.019080e+04 4.2394 3.5105 4.4995 0.8022 0.375
  8 7.261460e+04 4.2462 3.5097 4.4993 0.8028 0.385
  9 8.557560e+04 4.2526 3.5089 4.4991 0.8033 0.396
 10 9.899770e+04 4.2587 3.5081 4.4988 0.8037 0.409
 11 1.128090e+05 4.2643 3.5074 4.4985 0.8041 0.423
 12 1.269470e+05 4.2697 3.5066 4.4981 0.8044 0.439
 13 1.413540e+05 4.2749 3.5059 4.4977 0.8047 0.455
 14 1.559840e+05 4.2798 3.5052 4.4972 0.8050 0.473
 15 1.707970e+05 4.2846 3.5044 4.4966 0.8052 0.491
 16 1.857610e+05 4.2893 3.5037 4.4959 0.8054 0.510
 17 2.008490e+05 4.2940 3.5030 4.4952 0.8056 0.530
 18 2.160400e+05 4.2986 3.5023 4.4943 0.8057 0.551
 19 2.313160e+05 4.3032 3.5015 4.4933 0.8059 0.571
 20 2.466650e+05 4.3078 3.5008 4.4922 0.8060 0.593
 21 2.620730e+05 4.3125 3.5000 4.4909 0.8061 0.614
 22 2.775340e+05 4.3172 3.4992 4.4894 0.8062 0.636
 23 2.930400e+05 4.3219 3.4984 4.4877 0.8063 0.658
 24 3.085850e+05 4.3268 3.4976 4.4858 0.8064 0.680
 25 3.241650e+05 4.3316 3.4968 4.4835 0.8065 0.703
 26 3.397760e+05 4.3365 3.4960 4.4810 0.8066 0.726
 27 3.554170e+05 4.3415 3.4954 4.4780 0.8067 0.749
 28 3.710840e+05 4.3465 3.4946 4.4747 0.8068 0.772
 29 3.867760e+05 4.3515 3.4938 4.4707 0.8069 0.796
 30 4.024920e+05 4.3566 3.4928 4.4661 0.8070 0.819
 31 4.182320e+05 4.3617 3.4918 4.4608 0.8071 0.843
 32 4.339950e+05 4.3667 3.4912 4.4546 0.8072 0.867
 33 4.497800e+05 4.3717 3.4902 4.4473 0.8072 0.890
 34 4.655860e+05 4.3767 3.4891 4.4387 0.8073 0.912
 35 4.814150e+05 4.3816 3.4883 4.4286 0.8074 0.058
 36 4.972690e+05 4.3864 3.4862 4.4164 0.8075 0.084
 37 5.131490e+05 4.3910 3.4850 4.4009 0.8076 0.110
 38 5.290580e+05 4.3953 3.4834 4.3821 0.8077 0.136
 39 5.449990e+05 4.3993 3.4821 4.3589 0.8078 0.160
 40 5.609740e+05 4.4029 3.4808 4.3303 0.8079 0.182
 41 5.769870e+05 4.4058 3.4795 4.2948 0.8080 0.204
 42 5.930450e+05 4.4080 3.4781 4.2503 0.8080 0.224
 43 6.091520e+05 4.4090 3.4766 4.1939 0.8081 0.244
 44 6.253160e+05 4.4085 3.4746 4.1211 0.8082 0.266
 45 6.415480e+05 4.4056 3.4728 4.0240 0.8083 0.291
 46 6.578580e+05 4.3989 3.4706 3.8877 0.8084 0.322
 47 6.742630e+05 4.3856 3.4672 3.6791 0.8085 0.357
 48 6.907790e+05 4.3527 3.4609 3.2395 0.8087 0.398
 49 7.074520e+05 4.2495 3.4252 1.4298 0.8090 0.406
