#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.5047 3.4872 1.7000 0.5336 0.350
  2 5.804250e+04 3.5177 3.4853 1.7000 0.5347 0.350
  3 1.168720e+05 3.5317 3.4837 1.6999 0.5360 0.350
  4 1.765220e+05 3.5465 3.4816 1.6999 0.5374 0.350
  5 2.370170e+05 3.5619 3.4793 1.6998 0.5389 0.350
  6 2.983650e+05 3.5779 3.4774 1.6996 0.5406 0.350
  7 3.605580e+05 3.5944 3.4751 1.6994 0.5424 0.350
  8 4.235690e+05 3.6113 3.4727 1.6991 0.5444 0.350
  9 4.873470e+05 3.6285 3.4702 1.6985 0.5466 0.350
 10 5.518180e+05 3.6459 3.4676 1.6976 0.5490 0.350
 11 6.168840e+05 3.6635 3.4651 1.6961 0.5515 0.350
 12 6.824210e+05 3.6811 3.4624 1.6937 0.5543 0.350
 13 7.482810e+05 3.6987 3.4597 1.6896 0.5572 0.350
 14 8.142920e+05 3.7163 3.4568 1.6828 0.5604 0.350
 15 8.802680e+05 3.7336 3.4534 1.6710 0.5637 0.350
 16 9.460080e+05 3.7507 3.4495 1.6491 0.5673 0.350
 17 1.011310e+06 3.7675 3.4445 1.6029 0.5710 0.350
 18 1.075980e+06 3.7832 3.4304 1.4219 0.5749 0.350
