#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 4.2596 3.6323 5.0000 0.9733 0.295
  2 1.491820e+03 4.2942 3.6295 5.0000 0.9736 0.319
  3 3.646580e+03 4.3374 3.6254 5.0000 0.9738 0.360
  4 5.881570e+03 4.3754 3.6217 5.0000 0.9739 0.403
  5 8.141470e+03 4.4087 3.6182 5.0000 0.9739 0.449
  6 1.042150e+04 4.4382 3.6155 5.0000 0.9740 0.492
  7 1.272110e+04 4.4644 3.6126 5.0000 0.9740 0.498
  8 1.504030e+04 4.4878 3.6100 5.0000 0.9741 0.375
  9 1.737890e+04 4.5089 3.6079 5.0000 0.9741 0.151
 10 1.973700e+04 4.5279 3.6059 5.0000 0.9742 0.081
 11 2.211440e+04 4.5452 3.6043 5.0000 0.9743 0.086
 12 2.451120e+04 4.5608 3.6022 5.0000 0.9743 0.093
 13 2.692700e+04 4.5750 3.6007 5.0000 0.9744 0.101
 14 2.936170e+04 4.5880 3.5989 5.0000 0.9744 0.110
 15 3.181520e+04 4.5999 3.5975 5.0000 0.9745 0.122
 16 3.428720e+04 4.6108 3.5961 5.0000 0.9745 0.135
 17 3.677770e+04 4.6208 3.5945 5.0000 0.9746 0.151
 18 3.928640e+04 4.6300 3.5933 5.0000 0.9747 0.168
 19 4.181320e+04 4.6385 3.5922 5.0000 0.9747 0.189
 20 4.435770e+04 4.6463 3.5907 4.9999 0.9748 0.211
 21 4.691980e+04 4.6535 3.5897 4.9999 0.9748 0.236
 22 4.949920e+04 4.6602 3.5886 4.9999 0.9749 0.264
 23 5.209570e+04 4.6664 3.5872 4.9999 0.9750 0.294
 24 5.470910e+04 4.6722 3.5863 4.9998 0.9750 0.328
 25 5.733910e+04 4.6776 3.5853 4.9998 0.9751 0.364
 26 5.998550e+04 4.6826 3.5839 4.9998 0.9751 0.404
 27 6.264800e+04 4.6873 3.5831 4.9997 0.9752 0.446
 28 6.532630e+04 4.6917 3.5822 4.9997 0.9753 0.492
 29 6.802020e+04 4.6958 3.5810 4.9996 0.9753 0.541
 30 7.072930e+04 4.6998 3.5800 4.9995 0.9754 0.593
 31 7.345350e+04 4.7035 3.5791 4.9994 0.9755 0.648
 32 7.619250e+04 4.7070 3.5782 4.9993 0.9755 0.707
 33 7.894590e+04 4.7103 3.5769 4.9992 0.9756 0.768
 34 8.171350e+04 4.7135 3.5760 4.9991 0.9757 0.832
 35 8.449500e+04 4.7165 3.5745 4.9989 0.9757 0.899
 36 8.729010e+04 4.7194 3.5737 4.9988 0.9758 0.967
 37 9.009860e+04 4.7222 3.5721 4.9986 0.9759 1.037
 38 9.292010e+04 4.7249 3.5711 4.9986 0.9759 1.110
 39 9.575420e+04 4.7276 3.5696 4.9986 0.9760 1.183
 40 9.860070e+04 4.7301 3.5680 4.9986 0.9761 1.258
 41 1.014590e+05 4.7326 3.5663 4.9986 0.9761 1.332
 42 1.043290e+05 4.7350 3.5649 4.9985 0.9762 1.407
 43 1.072110e+05 4.7374 3.5634 4.9985 0.9763 1.482
 44 1.101040e+05 4.7397 3.5619 4.9985 0.9763 1.555
 45 1.130070e+05 4.7420 3.5604 4.9985 0.9764 1.628
 46 1.159220e+05 4.7442 3.5589 4.9985 0.9765 1.696
 47 1.188460e+05 4.7464 3.5574 4.9985 0.9766 1.769
 48 1.217800e+05 4.7486 3.5560 4.9985 0.9766 1.835
 49 1.247240e+05 4.7508 3.5545 4.9985 0.9767 1.899
 50 1.276780e+05 4.7529 3.5531 4.9985 0.9768 1.960
 51 1.306400e+05 4.7550 3.5520 4.9985 0.9768 2.019
