#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.4652 3.5656 2.0000 0.5297 0.335
  2 1.376110e+05 3.4886 3.5633 2.0000 0.5317 0.335
  3 2.933590e+05 3.5176 3.5605 2.0000 0.5344 0.335
  4 4.670680e+05 3.5522 3.5571 2.0000 0.5381 0.335
  5 6.547070e+05 3.5911 3.5533 2.0000 0.5428 0.335
  6 8.485530e+05 3.6320 3.5491 2.0000 0.5486 0.335
  7 1.040150e+06 3.6726 3.5447 1.9999 0.5553 0.335
  8 1.223440e+06 3.7110 3.5409 1.9999 0.5627 0.335
  9 1.395390e+06 3.7465 3.5372 1.9997 0.5707 0.335
 10 1.555050e+06 3.7789 3.5335 1.9992 0.5791 0.407
 11 1.702530e+06 3.8053 3.5299 1.9984 0.5863 0.535
 12 1.841040e+06 3.8273 3.5263 1.9969 0.5928 0.703
 13 1.973170e+06 3.8461 3.5227 1.9943 0.5988 0.900
 14 2.100180e+06 3.8625 3.5183 1.9897 0.6042 1.118
 15 2.222670e+06 3.8769 3.4712 1.9871 0.6093 1.349
 16 2.340950e+06 3.8897 3.4564 1.9834 0.6141 1.586
 17 2.455270e+06 3.9013 3.4483 1.9786 0.6187 1.826
 18 2.565720e+06 3.9118 3.4420 1.9729 0.6230 2.065
 19 2.672410e+06 3.9216 3.4367 1.9663 0.6272 2.300
 20 2.775420e+06 3.9307 3.4320 1.9588 0.6313 2.530
 21 2.874840e+06 3.9393 3.4277 1.9503 0.6353 2.752
 22 2.970750e+06 3.9475 3.4237 1.9409 0.6393 2.968
 23 3.063250e+06 3.9553 3.4201 1.9304 0.6431 3.175
 24 3.152420e+06 3.9629 3.4156 1.9007 0.6470 3.374
 25 3.238390e+06 3.9705 3.3956 1.6583 0.6509 3.556
 26 3.300180e+06 3.9711 3.3656 0.6527 0.6527 3.556
