#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 4.2071 3.5374 4.0000 0.8307 0.349
  2 7.054440e+03 4.2222 3.5354 3.9999 0.8318 0.352
  3 1.511160e+04 4.2369 3.5337 3.9998 0.8326 0.360
  4 2.414220e+04 4.2512 3.5321 3.9995 0.8334 0.372
  5 3.411730e+04 4.2648 3.5302 3.9991 0.8340 0.388
  6 4.492070e+04 4.2774 3.5288 3.9986 0.8346 0.410
  7 5.640190e+04 4.2888 3.5272 3.9978 0.8350 0.436
  8 6.841310e+04 4.2988 3.5261 3.9967 0.8354 0.466
  9 8.082750e+04 4.3075 3.5251 3.9954 0.8358 0.500
 10 9.354440e+04 4.3152 3.5239 3.9936 0.8360 0.537
 11 1.064880e+05 4.3221 3.5232 3.9915 0.8363 0.576
 12 1.196020e+05 4.3283 3.5225 3.9890 0.8365 0.617
 13 1.328460e+05 4.3339 3.5218 3.9860 0.8367 0.660
 14 1.461920e+05 4.3391 3.5209 3.9826 0.8368 0.704
 15 1.596190e+05 4.3441 3.5203 3.9786 0.8370 0.749
 16 1.731140e+05 4.3488 3.5197 3.9740 0.8371 0.795
 17 1.866660e+05 4.3534 3.5192 3.9688 0.8372 0.843
 18 2.002690e+05 4.3579 3.5182 3.9629 0.8374 0.891
 19 2.139170e+05 4.3622 3.5177 3.9561 0.8375 0.940
 20 2.276070e+05 4.3665 3.5171 3.9483 0.8376 0.990
 21 2.413360e+05 4.3711 3.5166 3.9451 0.8378 1.040
 22 2.550990e+05 4.3759 3.5161 3.9450 0.8379 1.092
 23 2.688920e+05 4.3807 3.5153 3.9449 0.8380 1.143
 24 2.827140e+05 4.3856 3.5148 3.9448 0.8381 1.196
 25 2.965630e+05 4.3905 3.5143 3.9446 0.8383 1.248
 26 3.104370e+05 4.3955 3.5138 3.9445 0.8384 1.301
 27 3.243370e+05 4.4006 3.5129 3.9444 0.8385 1.354
 28 3.382600e+05 4.4057 3.5124 3.9443 0.8386 1.405
 29 3.522070e+05 4.4109 3.5119 3.9441 0.8388 1.453
 30 3.661750e+05 4.4162 3.5114 3.9440 0.8389 1.495
 31 3.801640e+05 4.4215 3.5105 3.9438 0.8390 1.529
 32 3.941730e+05 4.4268 3.5099 3.9434 0.8391 1.551
 33 4.082020e+05 4.4322 3.5094 3.9424 0.8393 1.560
 34 4.222490e+05 4.4374 3.5085 3.9388 0.8394 1.555
 35 4.363170e+05 4.4422 3.5078 3.9296 0.8395 1.537
 36 4.504080e+05 4.4465 3.5069 3.9165 0.8396 1.507
 37 4.645240e+05 4.4507 3.5062 3.9007 0.8398 1.466
 38 4.786660e+05 4.4546 3.5055 3.8828 0.8399 1.416
 39 4.928330e+05 4.4584 3.5044 3.8633 0.8400 1.357
 40 5.070260e+05 4.4618 3.5038 3.8412 0.8402 1.292
 41 5.212460e+05 4.4651 3.5027 3.8185 0.8403 1.222
 42 5.354900e+05 4.4684 3.5020 3.7949 0.8405 1.147
 43 5.497590e+05 4.4727 3.5010 3.7824 0.8406 1.064
 44 5.640430e+05 4.4781 3.5005 3.7794 0.8408 0.972
 45 5.783360e+05 4.4819 3.4995 3.7624 0.8409 0.892
 46 5.926510e+05 4.4647 3.4974 3.5651 0.8411 0.917
 47 6.071090e+05 4.4055 3.4901 2.9814 0.8413 1.010
 48 6.218490e+05 4.4101 3.4893 2.9812 0.8417 1.108
 49 6.361120e+05 4.4142 3.4890 2.9810 0.8420 1.203
 50 6.503820e+05 4.4120 3.4881 2.9235 0.8423 1.301
 51 6.646890e+05 4.4088 3.4867 2.8579 0.8428 1.403
 52 6.789540e+05 4.4044 3.4852 2.7830 0.8432 1.508
 53 6.931590e+05 4.3986 3.4836 2.6967 0.8437 1.617
 54 7.072770e+05 4.3911 3.4813 2.5966 0.8442 1.730
 55 7.212770e+05 4.3817 3.4793 2.4791 0.8448 1.847
 56 7.351130e+05 4.3701 3.4765 2.3400 0.8456 1.970
 57 7.487240e+05 4.3557 3.4733 2.1685 0.8464 2.096
 58 7.620320e+05 4.3381 3.4689 1.9504 0.8475 2.227
 59 7.749190e+05 4.3164 3.4642 1.6423 0.8489 2.359
