#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.5488 3.5812 1.4000 0.5662 0.317
  2 1.205860e+05 3.5858 3.5774 1.3999 0.5691 0.455
  3 2.790160e+05 3.6317 3.5717 1.3995 0.5728 0.903
  4 4.626340e+05 3.6814 3.5614 1.3976 0.5773 1.853
  5 6.561980e+05 3.7275 3.5134 1.3957 0.5824 3.247
  6 8.489460e+05 3.7660 3.4868 1.3886 0.5876 4.790
  7 1.036450e+06 3.7966 3.4662 1.3712 0.5927 6.210
  8 1.217080e+06 3.8204 3.4493 1.3388 0.5977 7.413
  9 1.390140e+06 3.8395 3.4339 1.2892 0.6026 8.420
 10 1.554840e+06 3.8558 3.4199 1.2214 0.6078 9.264
 11 1.692680e+06 3.8652 3.4023 0.6113 0.6113 9.264
