#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.4799 3.6009 1.8000 0.5544 0.309
  2 1.335940e+05 3.5191 3.5971 1.8000 0.5572 0.449
  3 3.122580e+05 3.5662 3.5916 1.8000 0.5600 0.853
  4 5.257760e+05 3.6181 3.5819 1.8000 0.5633 1.678
  5 7.610780e+05 3.6680 3.5474 1.7992 0.5669 2.935
  6 1.004730e+06 3.7106 3.5237 1.7958 0.5705 4.432
  7 1.248570e+06 3.7439 3.5055 1.7857 0.5739 5.924
  8 1.488860e+06 3.7687 3.4905 1.7635 0.5769 7.250
  9 1.724220e+06 3.7868 3.4780 1.7247 0.5796 8.361
 10 1.953810e+06 3.8007 3.4663 1.6670 0.5824 9.281
 11 2.176450e+06 3.8122 3.4540 1.5894 0.5853 10.050
 12 2.390620e+06 3.8227 3.4411 1.4914 0.5886 10.699
 13 2.594590e+06 3.8330 3.4267 1.3730 0.5926 11.253
 14 2.786390e+06 3.8440 3.4104 1.2358 0.5973 11.726
 15 2.928500e+06 3.8455 3.3933 0.5990 0.5990 11.726
