#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 4.2886 3.5788 4.0000 0.8869 0.323
  2 4.428080e+03 4.3054 3.5771 3.9999 0.8878 0.338
  3 9.846380e+03 4.3224 3.5753 3.9998 0.8883 0.365
  4 1.617820e+04 4.3395 3.5734 3.9995 0.8886 0.403
  5 2.321550e+04 4.3557 3.5714 3.9990 0.8889 0.451
  6 3.071590e+04 4.3701 3.5695 3.9983 0.8891 0.507
  7 3.849490e+04 4.3827 3.5676 3.9972 0.8892 0.569
  8 4.643570e+04 4.3936 3.5659 3.9958 0.8893 0.633
  9 5.447060e+04 4.4028 3.5642 3.9938 0.8894 0.700
 10 6.256190e+04 4.4108 3.5626 3.9912 0.8894 0.767
 11 7.068910e+04 4.4176 3.5608 3.9878 0.8894 0.832
 12 7.884090e+04 4.4236 3.5590 3.9836 0.8894 0.891
 13 8.701130e+04 4.4288 3.5574 3.9783 0.8895 0.935
 14 9.519710e+04 4.4333 3.5555 3.9715 0.8895 0.957
 15 1.033970e+05 4.4374 3.5534 3.9645 0.8895 0.956
 16 1.116090e+05 4.4413 3.5520 3.9595 0.8895 0.930
 17 1.198320e+05 4.4448 3.5516 3.9518 0.8895 0.885
 18 1.280660e+05 4.4476 3.5510 3.9394 0.8895 0.824
 19 1.363140e+05 4.4502 3.5506 3.9246 0.8895 0.754
 20 1.445780e+05 4.4524 3.5501 3.9084 0.8895 0.678
 21 1.528580e+05 4.4544 3.5494 3.8905 0.8895 0.602
 22 1.611570e+05 4.4561 3.5485 3.8701 0.8896 0.530
 23 1.694750e+05 4.4575 3.5480 3.8470 0.8896 0.467
 24 1.778140e+05 4.4586 3.5473 3.8209 0.8896 0.414
 25 1.861770e+05 4.4593 3.5466 3.7912 0.8896 0.373
 26 1.945660e+05 4.4596 3.5455 3.7568 0.8896 0.346
 27 2.029850e+05 4.4592 3.5444 3.7163 0.8896 0.333
 28 2.114360e+05 4.4581 3.5434 3.6678 0.8896 0.332
 29 2.199270e+05 4.4561 3.5420 3.6087 0.8896 0.346
 30 2.284640e+05 4.4527 3.5405 3.5350 0.8897 0.379
 31 2.370570e+05 4.4473 3.5386 3.4381 0.8897 0.437
 32 2.457190e+05 4.4383 3.5362 3.2995 0.8897 0.529
 33 2.544760e+05 4.4244 3.5326 3.1026 0.8897 0.643
 34 2.633570e+05 4.3769 3.5221 2.4257 0.8898 0.811
