#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.3384 3.6306 1.9000 0.5421 0.294
  2 1.602710e+05 3.3831 3.6266 1.9000 0.5444 0.623
  3 4.322960e+05 3.4469 3.6179 1.9000 0.5467 1.558
  4 7.547430e+05 3.5134 3.5984 1.8999 0.5488 3.083
  5 1.093700e+06 3.5733 3.5731 1.8986 0.5508 4.941
  6 1.437360e+06 3.6232 3.5514 1.8918 0.5526 6.838
  7 1.780870e+06 3.6621 3.5323 1.8699 0.5542 8.559
  8 2.122400e+06 3.6908 3.5153 1.8210 0.5555 10.011
  9 2.462030e+06 3.7112 3.4986 1.7353 0.5564 11.191
 10 2.800680e+06 3.7263 3.4805 1.6044 0.5575 12.158
 11 3.134470e+06 3.7382 3.4585 1.4211 0.5590 12.963
 12 3.457310e+06 3.7496 3.4292 1.1760 0.5616 13.649
 13 3.745160e+06 3.7597 3.3987 0.5649 0.5649 13.649
