#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 4.3003 3.5437 4.5000 0.9094 0.356
  2 3.216320e+03 4.3274 3.5402 4.4999 0.9102 0.358
  3 6.780130e+03 4.3531 3.5374 4.4998 0.9107 0.361
  4 1.069570e+04 4.3774 3.5343 4.4996 0.9112 0.367
  5 1.496680e+04 4.4002 3.5313 4.4991 0.9116 0.374
  6 1.956470e+04 4.4210 3.5290 4.4982 0.9120 0.383
  7 2.444500e+04 4.4397 3.5265 4.4967 0.9123 0.394
  8 2.955940e+04 4.4562 3.5241 4.4942 0.9126 0.406
  9 3.486250e+04 4.4705 3.5226 4.4904 0.9128 0.416
 10 4.031570e+04 4.4827 3.5207 4.4849 0.9130 0.419
 11 4.588740e+04 4.4932 3.5194 4.4773 0.9132 0.410
 12 5.155330e+04 4.5020 3.5179 4.4672 0.9133 0.390
 13 5.729480e+04 4.5094 3.5169 4.4542 0.9135 0.360
 14 6.309850e+04 4.5156 3.5160 4.4380 0.9136 0.324
 15 6.895460e+04 4.5206 3.5148 4.4180 0.9137 0.285
 16 7.485660e+04 4.5247 3.5140 4.3937 0.9138 0.246
 17 8.080000e+04 4.5278 3.5128 4.3643 0.9139 0.209
 18 8.678230e+04 4.5298 3.5121 4.3293 0.9140 0.179
 19 9.280250e+04 4.5310 3.5113 4.2878 0.9140 0.155
 20 9.886030e+04 4.5311 3.5101 4.2379 0.9141 0.138
 21 1.049570e+05 4.5301 3.5093 4.1782 0.9142 0.129
 22 1.110940e+05 4.5279 3.5080 4.1051 0.9143 0.126
 23 1.172740e+05 4.5239 3.5066 4.0141 0.9144 0.130
 24 1.235020e+05 4.5176 3.5048 3.8963 0.9145 0.140
 25 1.297840e+05 4.5074 3.5027 3.7305 0.9146 0.163
 26 1.361280e+05 4.4889 3.4990 3.4555 0.9147 0.197
 27 1.425540e+05 4.4336 3.4839 2.6046 0.9148 0.246
 28 1.491460e+05 4.3887 3.4718 1.4756 0.9153 0.311
