#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 4.2357 3.5400 4.0000 0.8545 0.355
  2 5.612850e+03 4.2543 3.5380 3.9999 0.8556 0.358
  3 1.200670e+04 4.2723 3.5355 3.9997 0.8564 0.365
  4 1.916200e+04 4.2896 3.5336 3.9994 0.8571 0.376
  5 2.705740e+04 4.3059 3.5313 3.9988 0.8576 0.391
  6 3.560250e+04 4.3207 3.5297 3.9980 0.8582 0.411
  7 4.468000e+04 4.3339 3.5278 3.9967 0.8586 0.435
  8 5.417480e+04 4.3453 3.5266 3.9949 0.8590 0.462
  9 6.398790e+04 4.3552 3.5254 3.9925 0.8593 0.492
 10 7.404070e+04 4.3637 3.5240 3.9893 0.8595 0.525
 11 8.427370e+04 4.3711 3.5232 3.9854 0.8597 0.561
 12 9.464330e+04 4.3775 3.5224 3.9806 0.8599 0.598
 13 1.051180e+05 4.3832 3.5213 3.9749 0.8601 0.636
 14 1.156760e+05 4.3884 3.5206 3.9681 0.8602 0.676
 15 1.263010e+05 4.3931 3.5200 3.9603 0.8604 0.717
 16 1.369830e+05 4.3975 3.5194 3.9513 0.8605 0.759
 17 1.477140e+05 4.4016 3.5184 3.9408 0.8606 0.801
 18 1.584890e+05 4.4054 3.5178 3.9287 0.8608 0.845
 19 1.693040e+05 4.4090 3.5172 3.9148 0.8609 0.890
 20 1.801580e+05 4.4124 3.5166 3.8988 0.8610 0.936
 21 1.910490e+05 4.4155 3.5156 3.8802 0.8611 0.982
 22 2.019770e+05 4.4193 3.5151 3.8724 0.8612 1.029
 23 2.129330e+05 4.4237 3.5146 3.8724 0.8614 1.077
 24 2.239130e+05 4.4280 3.5142 3.8723 0.8615 1.124
 25 2.349160e+05 4.4324 3.5133 3.8722 0.8616 1.171
 26 2.459430e+05 4.4368 3.5130 3.8721 0.8617 1.216
 27 2.569910e+05 4.4410 3.5125 3.8685 0.8619 1.258
 28 2.680630e+05 4.4449 3.5119 3.8608 0.8620 1.296
 29 2.791590e+05 4.4487 3.5110 3.8503 0.8621 1.329
 30 2.902800e+05 4.4522 3.5104 3.8377 0.8622 1.356
 31 3.014260e+05 4.4555 3.5099 3.8228 0.8623 1.377
 32 3.125960e+05 4.4588 3.5089 3.8065 0.8625 1.392
 33 3.237920e+05 4.4619 3.5083 3.7889 0.8626 1.402
 34 3.350120e+05 4.4647 3.5077 3.7690 0.8627 1.406
 35 3.462570e+05 4.4674 3.5067 3.7472 0.8629 1.405
 36 3.575270e+05 4.4699 3.5060 3.7242 0.8630 1.401
 37 3.688210e+05 4.4723 3.5050 3.6999 0.8631 1.393
 38 3.801380e+05 4.4744 3.5044 3.6743 0.8633 1.383
 39 3.914780e+05 4.4764 3.5037 3.6474 0.8634 1.371
 40 4.028410e+05 4.4782 3.5027 3.6188 0.8636 1.359
 41 4.142250e+05 4.4797 3.5018 3.5878 0.8637 1.347
 42 4.256290e+05 4.4808 3.5010 3.5540 0.8639 1.338
 43 4.370550e+05 4.4816 3.5000 3.5184 0.8641 1.332
 44 4.484980e+05 4.4821 3.4993 3.4807 0.8642 1.330
 45 4.599590e+05 4.4823 3.4982 3.4410 0.8644 1.335
 46 4.714350e+05 4.4822 3.4975 3.3988 0.8646 1.346
 47 4.829240e+05 4.4816 3.4964 3.3538 0.8648 1.365
 48 4.944230e+05 4.4805 3.4953 3.3057 0.8650 1.394
 49 5.059300e+05 4.4789 3.4945 3.2540 0.8652 1.434
 50 5.174400e+05 4.4766 3.4934 3.1980 0.8655 1.486
 51 5.289480e+05 4.4737 3.4922 3.1372 0.8657 1.551
 52 5.404500e+05 4.4699 3.4913 3.0704 0.8660 1.629
 53 5.519370e+05 4.4650 3.4901 2.9966 0.8663 1.716
 54 5.633990e+05 4.4590 3.4886 2.9143 0.8667 1.809
 55 5.748240e+05 4.4516 3.4872 2.8223 0.8670 1.906
 56 5.861940e+05 4.4427 3.4855 2.7184 0.8675 2.007
 57 5.974870e+05 4.4315 3.4836 2.5959 0.8680 2.111
 58 6.086730e+05 4.4181 3.4811 2.4527 0.8685 2.221
 59 6.197050e+05 4.4025 3.4783 2.2863 0.8692 2.335
 60 6.305210e+05 4.3845 3.4749 2.0884 0.8701 2.454
 61 6.410450e+05 4.3638 3.4713 1.8388 0.8712 2.576
 62 6.511790e+05 4.3409 3.4703 1.4923 0.8726 2.693
