 
   Teff    log g   log L/Lo     Age(Gyr)      Y       F220W   F250W   F330W   F344N   F435W   F475W   F502N   F550M   F555W   F606W   F625W   F658N   F660N   F775W   F814W  F850LP   F892N   BC(V)    M_U     M_B     M_V     M_R      M_I    M_J     M_H     M_K      M_L
   18405.  7.98143 -1.743569   1.310261200 0.10E+01   8.754   9.119   9.549   9.607  10.786  10.816  10.849  10.863  10.861  10.864  10.923  11.032  11.070  11.001  11.027  11.167  11.205  -1.742   9.985  10.810  10.867  10.954  11.052  11.310  11.367  11.488  11.547
   17384.  7.98583 -1.847169   1.334267600 0.10E+01   8.973   9.319   9.725   9.781  10.918  10.938  10.963  10.969  10.973  10.973  11.026  11.145  11.184  11.096  11.122  11.259  11.298  -1.591  10.154  10.940  10.975  11.056  11.146  11.389  11.441  11.558  11.613
   16244.  7.99067 -1.969769   1.367740400 0.10E+01   9.239   9.562   9.939   9.991  11.077  11.085  11.100  11.094  11.105  11.102  11.150  11.281  11.319  11.209  11.233  11.367  11.408  -1.413  10.358  11.098  11.103  11.178  11.257  11.482  11.528  11.639  11.689
   15188.  7.99509 -2.091062   1.407097600 0.10E+01   9.511   9.808  10.154  10.202  11.237  11.233  11.238  11.219  11.238  11.231  11.272  11.415  11.453  11.319  11.343  11.473  11.515  -1.238  10.563  11.258  11.231  11.299  11.366  11.572  11.611  11.717  11.763
   14031.  7.99985 -2.233475   1.462003900 0.10E+01   9.844  10.101  10.401  10.445  11.430  11.411  11.404  11.368  11.396  11.383  11.415  11.570  11.606  11.445  11.467  11.591  11.633  -1.035  10.799  11.449  11.384  11.439  11.488  11.672  11.701  11.802  11.844
   12942.  8.00423 -2.378126   1.529020300 0.10E+01  10.191  10.371  10.615  10.654  11.609  11.580  11.560  11.509  11.544  11.523  11.544  11.711  11.742  11.553  11.574  11.693  11.735  -0.818  11.002  11.626  11.529  11.565  11.594  11.758  11.779  11.876  11.918
   11918.  8.00841 -2.525548   1.611551500 0.10E+01  10.557  10.640  10.823  10.857  11.792  11.753  11.721  11.659  11.699  11.668  11.677  11.850  11.872  11.663  11.681  11.793  11.833  -0.602  11.199  11.807  11.682  11.695  11.700  11.843  11.851  11.945  11.987
   10817.  8.01315 -2.698601   1.730839000 0.10E+01  11.092  11.066  11.159  11.183  12.090  12.039  11.994  11.917  11.961  11.913  11.904  12.054  12.068  11.852  11.864  11.955  11.988  -0.430  11.514  12.102  11.943  11.917  11.881  11.982  11.964  12.052  12.091
    9782.  8.01752 -2.877726   1.886103000 0.10E+01  11.706  11.559  11.544  11.558  12.460  12.397  12.341  12.248  12.293  12.223  12.194  12.290  12.291  12.098  12.099  12.154  12.178  -0.316  11.877  12.467  12.276  12.202  12.116  12.153  12.098  12.181  12.216
    8702.  8.02191 -3.085262   2.120753100 0.10E+01  12.508  12.194  12.039  12.040  12.944  12.866  12.799  12.681  12.728  12.631  12.577  12.576  12.576  12.430  12.416  12.424  12.449  -0.234  12.343  12.946  12.713  12.578  12.434  12.375  12.269  12.343  12.372
    7688.  8.02638 -3.305119   2.461739000 0.10E+01  13.533  12.972  12.641  12.625  13.491  13.388  13.306  13.153  13.207  13.080  12.997  12.897  12.920  12.795  12.768  12.736  12.767  -0.161  12.906  13.486  13.190  12.992  12.786  12.620  12.457  12.514  12.526
    6669.  8.03132 -3.557052   3.024698600 0.10E+01  15.153  14.117  13.501  13.463  14.189  14.037  13.926  13.717  13.790  13.621  13.502  13.315  13.372  13.224  13.184  13.112  13.146  -0.106  13.702  14.172  13.764  13.485  13.200  12.914  12.688  12.711  12.688
    6167.  8.03425 -3.695915   3.502125500 0.10E+01  16.274  14.920  14.085  14.031  14.629  14.437  14.302  14.055  14.143  13.945  13.801  13.579  13.651  13.474  13.426  13.330  13.364  -0.103  14.237  14.604  14.109  13.776  13.440  13.089  12.834  12.830  12.780
