# 0. 0.
0.004	0.26
0.004	0.30
0.004	0.40
0.008	0.23
0.008	0.26
0.0001	0.23           
0.008	0.30
0.0001	0.26           
0.008	0.34
0.0001	0.30           
0.008	0.40
0.0001	0.40           
0.017	0.23
0.0004	0.23           
0.017	0.26
0.0004	0.26           
0.017	0.30
0.0004	0.30           
0.017	0.34
0.0004	0.40           
0.017	0.40
0.001	0.23            
0.040	0.26
0.001	0.26            
0.040	0.30
0.001	0.30            
0.040	0.34
0.001	0.40            
0.040	0.40
0.002	0.23            
0.040	0.46
0.002	0.26            
0.070	0.30
0.002	0.30            
0.070	0.34
0.002	0.40            
0.070	0.40
0.004	0.23            
0.070	0.46
