#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 4.2491 3.5661 4.5000 0.8831 0.338
  2 4.368480e+03 4.2736 3.5637 4.5000 0.8840 0.343
  3 9.350790e+03 4.2974 3.5613 4.5000 0.8845 0.351
  4 1.493850e+04 4.3205 3.5589 4.4999 0.8850 0.364
  5 2.111170e+04 4.3425 3.5566 4.4998 0.8854 0.381
  6 2.779230e+04 4.3627 3.5544 4.4996 0.8857 0.402
  7 3.488200e+04 4.3808 3.5523 4.4992 0.8860 0.428
  8 4.228660e+04 4.3968 3.5504 4.4987 0.8862 0.456
  9 4.992660e+04 4.4108 3.5488 4.4979 0.8864 0.485
 10 5.774020e+04 4.4229 3.5473 4.4967 0.8865 0.505
 11 6.568140e+04 4.4334 3.5458 4.4952 0.8866 0.505
 12 7.371690e+04 4.4425 3.5444 4.4932 0.8867 0.479
 13 8.182330e+04 4.4504 3.5432 4.4906 0.8868 0.429
 14 8.998460e+04 4.4574 3.5422 4.4874 0.8869 0.362
 15 9.818940e+04 4.4637 3.5414 4.4835 0.8869 0.288
 16 1.064300e+05 4.4693 3.5404 4.4790 0.8870 0.217
 17 1.147020e+05 4.4744 3.5397 4.4737 0.8870 0.161
 18 1.230010e+05 4.4790 3.5391 4.4676 0.8871 0.124
 19 1.313260e+05 4.4833 3.5382 4.4606 0.8871 0.106
 20 1.396760e+05 4.4873 3.5374 4.4525 0.8872 0.099
 21 1.480480e+05 4.4910 3.5366 4.4431 0.8872 0.097
 22 1.564450e+05 4.4944 3.5358 4.4324 0.8873 0.098
 23 1.648660e+05 4.4975 3.5350 4.4201 0.8873 0.099
 24 1.733110e+05 4.5005 3.5341 4.4060 0.8873 0.101
 25 1.817820e+05 4.5031 3.5333 4.3899 0.8874 0.103
 26 1.902800e+05 4.5055 3.5324 4.3713 0.8874 0.105
 27 1.988070e+05 4.5076 3.5314 4.3498 0.8875 0.108
 28 2.073640e+05 4.5093 3.5302 4.3248 0.8875 0.111
 29 2.159550e+05 4.5106 3.5293 4.2955 0.8875 0.114
 30 2.245810e+05 4.5114 3.5284 4.2614 0.8876 0.117
 31 2.332470e+05 4.5116 3.5274 4.2212 0.8876 0.120
 32 2.419570e+05 4.5111 3.5263 4.1737 0.8876 0.124
 33 2.507160e+05 4.5097 3.5252 4.1171 0.8877 0.129
 34 2.595290e+05 4.5070 3.5240 4.0485 0.8877 0.134
 35 2.684030e+05 4.5027 3.5225 3.9636 0.8877 0.142
 36 2.773500e+05 4.4955 3.5207 3.8497 0.8878 0.154
 37 2.863840e+05 4.4850 3.5188 3.7018 0.8878 0.177
 38 2.955210e+05 4.4679 3.5160 3.4813 0.8878 0.235
 39 3.047920e+05 4.4303 3.5099 3.0159 0.8879 0.328
 40 3.142800e+05 4.3471 3.4882 1.6379 0.8880 0.466
