 age/yr       logL   logTef grav   logTc  logrho Xc,Yc Xc_C    Xc_O    Q_conv Q_disc  logL_H Q1_H  Q2_H    logL_He Q1_He Q2_He  logL_C logL_nu Q_Tmax stage
 0.00000E+00 -1.907  3.599  5.086  6.865  2.179  0.755 6.85E-4 1.92E-3 0.0000 0.0000 -1.907 0.0000 0.0000  0.000 0.0000 0.0000  0.000  0.000  0.0000  ZAMS                
 2.48810E+10 -1.836  3.602  5.028  6.846  2.095  0.735 6.85E-4 1.92E-3 0.0000 0.0000 -1.836 0.0000 0.0295  0.000 0.0000 0.0000  0.000  0.000  0.0000  F    
