#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.7188 3.6018 1.9000 0.6203 0.292
  2 7.356960e+04 3.7514 3.5990 1.9000 0.6233 0.834
  3 2.056790e+05 3.7978 3.5886 1.9000 0.6267 2.446
  4 3.607110e+05 3.8381 3.5507 1.8992 0.6293 4.683
  5 5.190970e+05 3.8655 3.5242 1.8937 0.6310 6.799
  6 6.770850e+05 3.8826 3.5061 1.8772 0.6321 8.547
  7 8.343870e+05 3.8923 3.4920 1.8445 0.6326 9.907
  8 9.914610e+05 3.8979 3.4805 1.7934 0.6330 10.982
  9 1.148550e+06 3.9013 3.4695 1.7226 0.6333 11.843
 10 1.305670e+06 3.9039 3.4577 1.6316 0.6338 12.554
 11 1.460750e+06 3.9062 3.4453 1.5206 0.6346 13.151
 12 1.612700e+06 3.9090 3.4319 1.3895 0.6359 13.661
 13 1.759790e+06 3.9130 3.4161 1.2385 0.6379 14.103
 14 1.870620e+06 3.9091 3.4109 0.6368 0.6368 14.103
