 
   Teff    log g   log L/Lo     Age(Gyr)      Y       F220W   F250W   F330W   F344N   F435W   F475W   F502N   F550M   F555W   F606W   F625W   F658N   F660N   F775W   F814W  F850LP   F892N   BC(V)    M_U     M_B     M_V     M_R      M_I    M_J     M_H     M_K      M_L	G	BP	RP
   17445.  8.37899 -2.096428   0.453905700 0.10E+01   9.566   9.918  10.331  10.387  11.559  11.576  11.595  11.590  11.600  11.600  11.651  11.784  11.824  11.718  11.743  11.881  11.911  -1.591  10.765  11.583  11.598  11.681  11.768  12.016  12.069  12.186  12.243	11.646	11.578	11.769
   16307.  8.38114 -2.215712   0.510934500 0.10E+01   9.822  10.150  10.534  10.586  11.712  11.716  11.726  11.708  11.725  11.722  11.767  11.910  11.951  11.823  11.847  11.981  12.012  -1.414  10.959  11.735  11.720  11.795  11.870  12.101  12.147  12.259  12.312	11.772	11.715	11.875
   15236.  8.38313 -2.335685   0.578455300 0.10E+01  10.088  10.386  10.734  10.783  11.867  11.860  11.860  11.827  11.852  11.845  11.882  12.035  12.074  11.924  11.947  12.077  12.107  -1.237  11.150  11.889  11.843  11.908  11.969  12.182  12.220  12.328  12.377	11.897	11.853	11.979
   14227.  8.38498 -2.456578   0.658675300 0.10E+01  10.367  10.617  10.918  10.962  12.017  12.000  11.991  11.944  11.976  11.962  11.991  12.152  12.188  12.016  12.038  12.163  12.193  -1.055  11.324  12.037  11.963  12.014  12.059  12.255  12.285  12.389  12.437	12.016	11.985	12.073
   13116.  8.38700 -2.599806   0.772089500 0.10E+01  10.685  10.850  11.098  11.137  12.168  12.142  12.122  12.065  12.102  12.080  12.100  12.274  12.303  12.107  12.127  12.248  12.277  -0.821  11.494  12.186  12.087  12.121  12.147  12.327  12.348  12.449  12.497	12.136	12.119	12.166
   12069.  8.38900 -2.746447   0.912637200 0.10E+01  11.079  11.153  11.334  11.367  12.368  12.332  12.301  12.233  12.274  12.242  12.249  12.422  12.445  12.231  12.248  12.358  12.386  -0.625  11.717  12.385  12.257  12.266  12.266  12.420  12.427  12.524  12.569	12.298	12.299	12.290
   10941.  8.39121 -2.919123   1.117359100 0.10E+01  11.608  11.581  11.675  11.700  12.666  12.618  12.572  12.491  12.536  12.488  12.478  12.628  12.644  12.423  12.434  12.522  12.546  -0.454  12.038  12.679  12.518  12.491  12.451  12.561  12.542  12.632  12.673	12.543	12.569	12.483
    9906.  8.39313 -3.093617   1.387334600 0.10E+01  12.203  12.061  12.053  12.068  13.021  12.962  12.906  12.813  12.858  12.789  12.760  12.859  12.860  12.665  12.664  12.718  12.737  -0.341  12.393  13.030  12.841  12.768  12.682  12.728  12.673  12.759  12.796	12.841	12.896	12.722
    8888.  8.39521 -3.284153   1.946494700 0.10E+01  12.933  12.639  12.506  12.509  13.454  13.382  13.316  13.203  13.249  13.156  13.105  13.116  13.115  12.965  12.951  12.963  12.987  -0.258  12.818  13.458  13.234  13.107  12.970  12.929  12.828  12.906  12.937	13.204	13.294	13.018
    7828.  8.39745 -3.506993   2.861181700 0.10E+01  13.969  13.422  13.111  13.097  13.993  13.896  13.817  13.670  13.722  13.599  13.520  13.429  13.449  13.326  13.300  13.273  13.304  -0.172  13.382  13.989  13.706  13.516  13.319  13.169  13.014  13.074  13.089	13.641	13.779	13.376
