 
   Teff    log g   log L/Lo     Age(Gyr)      Y       F220W   F250W   F330W   F344N   F435W   F475W   F502N   F550M   F555W   F606W   F625W   F658N   F660N   F775W   F814W  F850LP   F892N   BC(V)    M_U     M_B     M_V     M_R      M_I    M_J     M_H     M_K      M_L	G
   61596.  7.63663  0.670614   2.701415400 0.10E+01   4.937   5.505   6.187   6.278   7.901   8.044   8.185   8.281   8.211   8.246   8.363   8.318   8.397   8.541   8.573   8.741   8.766  -5.170   6.697   7.935   8.260   8.408   8.606   9.029   9.157   9.328   9.429	 8.286
   58958.  7.65760  0.573593   2.701612000 0.10E+01   5.042   5.607   6.287   6.377   7.996   8.138   8.278   8.373   8.303   8.338   8.455   8.413   8.490   8.632   8.663   8.832   8.857  -5.020   6.796   8.031   8.352   8.500   8.697   9.119   9.246   9.417   9.518	 8.378
   56485.  7.67667  0.480079   2.701829000 0.10E+01   5.142   5.705   6.382   6.471   8.087   8.227   8.365   8.460   8.391   8.426   8.542   8.502   8.579   8.717   8.749   8.918   8.943  -4.873   6.890   8.121   8.439   8.586   8.782   9.204   9.330   9.501   9.602	 8.465
   54140.  7.69419  0.388896   2.702070000 0.10E+01   5.240   5.799   6.473   6.563   8.173   8.313   8.449   8.543   8.475   8.509   8.625   8.589   8.664   8.799   8.831   9.000   9.025  -4.729   6.981   8.208   8.523   8.669   8.864   9.284   9.410   9.581   9.682	 8.549
   51902.  7.71027  0.299509   2.702337600 0.10E+01   5.334   5.891   6.562   6.651   8.258   8.396   8.531   8.624   8.557   8.590   8.705   8.672   8.746   8.878   8.910   9.079   9.104  -4.586   7.069   8.292   8.604   8.749   8.943   9.362   9.488   9.658   9.759	 8.630
   49746.  7.72483  0.211236   2.702633400 0.10E+01   5.428   5.982   6.649   6.738   8.339   8.476   8.609   8.701   8.635   8.669   8.783   8.753   8.825   8.955   8.987   9.155   9.180  -4.444   7.155   8.374   8.682   8.827   9.020   9.437   9.562   9.732   9.834	 8.708
   47716.  7.73825  0.125435   2.702962000 0.10E+01   5.519   6.070   6.735   6.823   8.419   8.554   8.686   8.777   8.712   8.745   8.858   8.833   8.903   9.029   9.061   9.230   9.254  -4.305   7.240   8.453   8.758   8.902   9.094   9.510   9.634   9.804   9.906	 8.784
   45180.  7.75468  0.014148   2.703459500 0.10E+01   5.640   6.187   6.847   6.935   8.523   8.656   8.785   8.875   8.812   8.844   8.956   8.936   9.004   9.125   9.157   9.326   9.351  -4.126   7.351   8.557   8.856   9.000   9.190   9.604   9.727   9.897  10.000	 8.882
   42822.  7.76933 -0.093655   2.704033500 0.10E+01   5.761   6.304   6.959   7.046   8.626   8.757   8.883   8.972   8.910   8.942   9.052   9.039   9.104   9.220   9.252   9.421   9.445  -3.953   7.462   8.660   8.953   9.096   9.284   9.696   9.818   9.988  10.091	 8.979
   40638.  7.78251 -0.197749   2.704695800 0.10E+01   5.884   6.422   7.072   7.158   8.729   8.857   8.980   9.067   9.007   9.038   9.148   9.141   9.203   9.313   9.345   9.514   9.539  -3.789   7.573   8.763   9.050   9.191   9.377   9.786   9.907  10.077  10.181	 9.076
   38584.  7.79471 -0.300046   2.705469500 0.10E+01   6.011   6.545   7.189   7.275   8.835   8.960   9.080   9.165   9.107   9.138   9.245   9.247   9.305   9.408   9.441   9.610   9.634  -3.632   7.689   8.869   9.148   9.288   9.472   9.878   9.997  10.167  10.272	 9.173
   36147.  7.80849 -0.427178   2.706630400 0.10E+01   6.187   6.715   7.351   7.436   8.979   9.099   9.214   9.296   9.241   9.271   9.376   9.390   9.443   9.536   9.568   9.737   9.762  -3.446   7.849   9.012   9.280   9.419   9.599  10.000  10.117  10.286  10.393	 9.305
   33868.  7.82106 -0.552878   2.708082400 0.10E+01   6.385   6.907   7.534   7.618   9.138   9.252   9.361   9.441   9.389   9.418   9.520   9.549   9.595   9.675   9.708   9.877   9.903  -3.277   8.029   9.171   9.426   9.562   9.738  10.133  10.246  10.414  10.521	 9.451
   31731.  7.83271 -0.677733   2.709949000 0.10E+01   6.614   7.128   7.744   7.826   9.318   9.424   9.526   9.600   9.554   9.581   9.680   9.727   9.766   9.829   9.862  10.031  10.057  -3.127   8.236   9.350   9.587   9.721   9.891  10.276  10.385  10.550  10.658	 9.612
   29729.  7.84332 -0.801554   2.712403600 0.10E+01   6.864   7.369   7.971   8.051   9.507   9.604   9.697   9.766   9.725   9.750   9.845   9.908   9.941   9.987  10.019  10.186  10.214  -2.985   8.458   9.538   9.755   9.885  10.048  10.419  10.521  10.682  10.787	 9.779
   27462.  7.85513 -0.951183   2.716545500 0.10E+01   7.170   7.657   8.234   8.311   9.723   9.809   9.892   9.954   9.919   9.940  10.029  10.103  10.134  10.161  10.192  10.355  10.385  -2.801   8.714   9.753   9.945  10.068  10.221  10.573  10.666  10.820  10.918	 9.938
   25362.  7.86595 -1.100184   2.722740900 0.10E+01   7.464   7.927   8.476   8.550   9.919   9.995  10.069  10.122  10.093  10.111  10.194  10.272  10.304  10.315  10.345  10.503  10.534  -2.599   8.948   9.948  10.116  10.231  10.373  10.706  10.792  10.938  11.027	10.110
   23139.  7.87741 -1.271010   2.733999100 0.10E+01   7.793   8.228   8.744   8.813  10.133  10.197  10.260  10.304  10.282  10.295  10.371  10.455  10.488  10.481  10.509  10.661  10.695  -2.356   9.206  10.160  10.300  10.407  10.536  10.848  10.926  11.064  11.143	10.323
   20884.  7.88897 -1.460693   2.753809300 0.10E+01   8.162   8.566   9.044   9.108  10.367  10.417  10.468  10.500  10.486  10.494  10.563  10.654  10.690  10.659  10.686  10.833  10.869  -2.081   9.494  10.392  10.499  10.597  10.713  11.000  11.069  11.200  11.269	10.520
   18695.  7.90006 -1.664117   2.785068400 0.10E+01   8.573   8.942   9.377   9.437  10.621  10.654  10.690  10.709  10.704  10.708  10.768  10.873  10.910  10.849  10.875  11.016  11.055  -1.785   9.814  10.644  10.712  10.800  10.900  11.161  11.220  11.342  11.403	10.731
   17613.  7.90551 -1.773157   2.806829400 0.10E+01   8.803   9.152   9.563   9.619  10.760  10.783  10.811  10.821  10.822  10.823  10.878  10.992  11.030  10.951  10.976  11.114  11.155  -1.627   9.992  10.782  10.826  10.909  11.001  11.247  11.300  11.417  11.473	10.843
   16427.  7.91146 -1.900170   2.837377200 0.10E+01   9.078   9.403   9.785   9.837  10.924  10.935  10.953  10.952  10.961  10.959  11.008  11.134  11.171  11.069  11.094  11.228  11.271  -1.444  10.204  10.946  10.960  11.036  11.118  11.345  11.392  11.503  11.555	10.975
   15345.  7.91682 -2.023882   2.873278800 0.10E+01   9.355   9.655  10.005  10.054  11.088  11.087  11.094  11.081  11.097  11.091  11.134  11.272  11.310  11.184  11.207  11.338  11.382  -1.266  10.415  11.109  11.092  11.161  11.230  11.439  11.478  11.585  11.631	11.104
   14343.  7.92172 -2.146187   2.915520100 0.10E+01   9.637   9.909  10.223  10.268  11.255  11.241  11.237  11.209  11.234  11.223  11.258  11.409  11.445  11.295  11.317  11.443  11.488  -1.092  10.622  11.274  11.224  11.284  11.339  11.528  11.560  11.662  11.705	11.232
   13239.  7.92698 -2.290504   2.974641600 0.10E+01   9.986  10.200  10.461  10.501  11.448  11.421  11.406  11.360  11.393  11.375  11.399  11.561  11.594  11.416  11.437  11.557  11.602  -0.886  10.848  11.466  11.379  11.422  11.457  11.625  11.647  11.744  11.785	11.380
   12198.  7.93188 -2.437682   3.047245800 0.10E+01  10.331  10.449  10.655  10.690  11.617  11.581  11.553  11.496  11.534  11.507  11.521  11.695  11.720  11.516  11.536  11.652  11.694  -0.658  11.032  11.632  11.518  11.540  11.555  11.704  11.717  11.812  11.854	11.512
   11080.  7.93748 -2.610364   3.152020600 0.10E+01  10.845  10.849  10.968  10.995  11.895  11.847  11.806  11.733  11.776  11.733  11.729  11.888  11.905  11.689  11.704  11.802  11.839  -0.467  11.327  11.908  11.758  11.744  11.721  11.833  11.823  11.913  11.952	11.739
   10024.  7.94273 -2.789535   3.288328100 0.10E+01  11.442  11.328  11.344  11.361  12.249  12.189  12.136  12.047  12.092  12.029  12.005  12.119  12.123  11.922  11.926  11.992  12.019  -0.335  11.680  12.258  12.075  12.014  11.943  11.997  11.953  12.037  12.072	12.038
    8911.  7.94798 -2.999339   3.494557400 0.10E+01  12.229  11.955  11.831  11.834  12.731  12.656  12.591  12.480  12.526  12.435  12.386  12.407  12.405  12.250  12.239  12.257  12.281  -0.247  12.140  12.734  12.511  12.389  12.257  12.219  12.124  12.200  12.230	12.448
    7872.  7.95323 -3.219883   3.787136200 0.10E+01  13.206  12.706  12.414  12.402  13.275  13.177  13.098  12.953  13.006  12.884  12.808  12.726  12.743  12.616  12.592  12.567  12.597  -0.174  12.687  13.271  12.989  12.803  12.610  12.465  12.312  12.373  12.389	12.894
    6843.  7.95890 -3.468909   4.265431500 0.10E+01  14.697  13.773  13.222  13.188  13.948  13.807  13.703  13.506  13.575  13.414  13.302  13.130  13.180  13.040  13.003  12.937  12.971  -0.113  13.437  13.934  13.551  13.288  13.019  12.754  12.537  12.567  12.554	13.409
    6340.  7.96200 -3.604697   4.599718300 0.10E+01  15.737  14.507  13.762  13.714  14.363  14.187  14.061  13.828  13.911  13.723  13.589  13.379  13.446  13.280  13.235  13.147  13.182  -0.102  13.934  14.342  13.879  13.567  13.249  12.921  12.674  12.681  12.642	13.701
    5838.  7.96592 -3.751935   5.079593400 0.10E+01  17.028  15.456  14.437  14.369  14.860  14.637  14.483  14.206  14.306  14.086  13.924  13.682  13.762  13.558  13.505  13.390  13.426  -0.119  14.548  14.829  14.265  13.893  13.517  13.117  12.840  12.817  12.746	14.041
